InputStoryid	rightanswer	wronganswer
0173ff11-6a58-4bbc-bc1a-7cd1e58046ae	home	desks
017ea29c-3d5b-4d5b-b6b9-8f1aa378b203	played	decided
017ea29c-3d5b-4d5b-b6b9-8f1aa378b203	played	sick
017ea29c-3d5b-4d5b-b6b9-8f1aa378b203	played	video
017ea29c-3d5b-4d5b-b6b9-8f1aa378b203	played	games
017ea29c-3d5b-4d5b-b6b9-8f1aa378b203	game	decided
017ea29c-3d5b-4d5b-b6b9-8f1aa378b203	game	sick
017ea29c-3d5b-4d5b-b6b9-8f1aa378b203	game	video
017ea29c-3d5b-4d5b-b6b9-8f1aa378b203	game	games
017ea29c-3d5b-4d5b-b6b9-8f1aa378b203	bedtime	decided
017ea29c-3d5b-4d5b-b6b9-8f1aa378b203	bedtime	sick
017ea29c-3d5b-4d5b-b6b9-8f1aa378b203	bedtime	video
017ea29c-3d5b-4d5b-b6b9-8f1aa378b203	bedtime	games
01ba0600-2b67-4bd1-be61-35edd41d9a50	determined	gave
01ba0600-2b67-4bd1-be61-35edd41d9a50	determined	easily
01baa291-3fca-46ae-941e-d915af25831f	cassidy	cassidy
01baa291-3fca-46ae-941e-d915af25831f	cassidy	moved
01baa291-3fca-46ae-941e-d915af25831f	cassidy	away
01baa291-3fca-46ae-941e-d915af25831f	became	cassidy
01baa291-3fca-46ae-941e-d915af25831f	became	moved
01baa291-3fca-46ae-941e-d915af25831f	became	away
01baa291-3fca-46ae-941e-d915af25831f	good	cassidy
01baa291-3fca-46ae-941e-d915af25831f	good	moved
01baa291-3fca-46ae-941e-d915af25831f	good	away
01baa291-3fca-46ae-941e-d915af25831f	baking	cassidy
01baa291-3fca-46ae-941e-d915af25831f	baking	moved
01baa291-3fca-46ae-941e-d915af25831f	baking	away
01baa291-3fca-46ae-941e-d915af25831f	scones	cassidy
01baa291-3fca-46ae-941e-d915af25831f	scones	moved
01baa291-3fca-46ae-941e-d915af25831f	scones	away
01c6979c-a4cb-4663-86a4-dee74e048e99	felt	felt
01c6979c-a4cb-4663-86a4-dee74e048e99	felt	proud
01c6979c-a4cb-4663-86a4-dee74e048e99	like	felt
01c6979c-a4cb-4663-86a4-dee74e048e99	like	proud
01c6979c-a4cb-4663-86a4-dee74e048e99	true	felt
01c6979c-a4cb-4663-86a4-dee74e048e99	true	proud
01c6979c-a4cb-4663-86a4-dee74e048e99	coward	felt
01c6979c-a4cb-4663-86a4-dee74e048e99	coward	proud
01dab718-600d-4a7e-915e-b9d9e510d495	ball	alien
01dab718-600d-4a7e-915e-b9d9e510d495	ball	ship
01dab718-600d-4a7e-915e-b9d9e510d495	ball	appeared
01dab718-600d-4a7e-915e-b9d9e510d495	ball	abducted
01dab718-600d-4a7e-915e-b9d9e510d495	ball	people
01dab718-600d-4a7e-915e-b9d9e510d495	lit	alien
01dab718-600d-4a7e-915e-b9d9e510d495	lit	ship
01dab718-600d-4a7e-915e-b9d9e510d495	lit	appeared
01dab718-600d-4a7e-915e-b9d9e510d495	lit	abducted
01dab718-600d-4a7e-915e-b9d9e510d495	lit	people
01dab718-600d-4a7e-915e-b9d9e510d495	countdown	alien
01dab718-600d-4a7e-915e-b9d9e510d495	countdown	ship
01dab718-600d-4a7e-915e-b9d9e510d495	countdown	appeared
01dab718-600d-4a7e-915e-b9d9e510d495	countdown	abducted
01dab718-600d-4a7e-915e-b9d9e510d495	countdown	people
01dab718-600d-4a7e-915e-b9d9e510d495	started	alien
01dab718-600d-4a7e-915e-b9d9e510d495	started	ship
01dab718-600d-4a7e-915e-b9d9e510d495	started	appeared
01dab718-600d-4a7e-915e-b9d9e510d495	started	abducted
01dab718-600d-4a7e-915e-b9d9e510d495	started	people
01de6bc3-2192-4a63-abb9-ddd17f66abbd	pleased	stripped
01de6bc3-2192-4a63-abb9-ddd17f66abbd	pleased	skivvies
01de6bc3-2192-4a63-abb9-ddd17f66abbd	pleased	ran
01de6bc3-2192-4a63-abb9-ddd17f66abbd	pleased	outside
01de6bc3-2192-4a63-abb9-ddd17f66abbd	could	stripped
01de6bc3-2192-4a63-abb9-ddd17f66abbd	could	skivvies
01de6bc3-2192-4a63-abb9-ddd17f66abbd	could	ran
01de6bc3-2192-4a63-abb9-ddd17f66abbd	could	outside
01de6bc3-2192-4a63-abb9-ddd17f66abbd	show	stripped
01de6bc3-2192-4a63-abb9-ddd17f66abbd	show	skivvies
01de6bc3-2192-4a63-abb9-ddd17f66abbd	show	ran
01de6bc3-2192-4a63-abb9-ddd17f66abbd	show	outside
01de6bc3-2192-4a63-abb9-ddd17f66abbd	costume	stripped
01de6bc3-2192-4a63-abb9-ddd17f66abbd	costume	skivvies
01de6bc3-2192-4a63-abb9-ddd17f66abbd	costume	ran
01de6bc3-2192-4a63-abb9-ddd17f66abbd	costume	outside
01de6bc3-2192-4a63-abb9-ddd17f66abbd	keep	stripped
01de6bc3-2192-4a63-abb9-ddd17f66abbd	keep	skivvies
01de6bc3-2192-4a63-abb9-ddd17f66abbd	keep	ran
01de6bc3-2192-4a63-abb9-ddd17f66abbd	keep	outside
01de6bc3-2192-4a63-abb9-ddd17f66abbd	warm	stripped
01de6bc3-2192-4a63-abb9-ddd17f66abbd	warm	skivvies
01de6bc3-2192-4a63-abb9-ddd17f66abbd	warm	ran
01de6bc3-2192-4a63-abb9-ddd17f66abbd	warm	outside
01df4eef-791e-44b3-989b-2465df6a5f6b	got	went
01df4eef-791e-44b3-989b-2465df6a5f6b	got	restaurant
01df4eef-791e-44b3-989b-2465df6a5f6b	got	ate
01df4eef-791e-44b3-989b-2465df6a5f6b	got	huge
01df4eef-791e-44b3-989b-2465df6a5f6b	got	meal
01df4eef-791e-44b3-989b-2465df6a5f6b	sick	went
01df4eef-791e-44b3-989b-2465df6a5f6b	sick	restaurant
01df4eef-791e-44b3-989b-2465df6a5f6b	sick	ate
01df4eef-791e-44b3-989b-2465df6a5f6b	sick	huge
01df4eef-791e-44b3-989b-2465df6a5f6b	sick	meal
01df4eef-791e-44b3-989b-2465df6a5f6b	vomited	went
01df4eef-791e-44b3-989b-2465df6a5f6b	vomited	restaurant
01df4eef-791e-44b3-989b-2465df6a5f6b	vomited	ate
01df4eef-791e-44b3-989b-2465df6a5f6b	vomited	huge
01df4eef-791e-44b3-989b-2465df6a5f6b	vomited	meal
01df4eef-791e-44b3-989b-2465df6a5f6b	sidewalk	went
01df4eef-791e-44b3-989b-2465df6a5f6b	sidewalk	restaurant
01df4eef-791e-44b3-989b-2465df6a5f6b	sidewalk	ate
01df4eef-791e-44b3-989b-2465df6a5f6b	sidewalk	huge
01df4eef-791e-44b3-989b-2465df6a5f6b	sidewalk	meal
01f06691-77fa-417e-acf4-fc3c3e422ccf	friends	man
01f06691-77fa-417e-acf4-fc3c3e422ccf	friends	shouted
01f06691-77fa-417e-acf4-fc3c3e422ccf	friends	boys
01f06691-77fa-417e-acf4-fc3c3e422ccf	friends	good
01f06691-77fa-417e-acf4-fc3c3e422ccf	friends	throw
01f06691-77fa-417e-acf4-fc3c3e422ccf	ran	man
01f06691-77fa-417e-acf4-fc3c3e422ccf	ran	shouted
01f06691-77fa-417e-acf4-fc3c3e422ccf	ran	boys
01f06691-77fa-417e-acf4-fc3c3e422ccf	ran	good
01f06691-77fa-417e-acf4-fc3c3e422ccf	ran	throw
01f06691-77fa-417e-acf4-fc3c3e422ccf	man	man
01f06691-77fa-417e-acf4-fc3c3e422ccf	man	shouted
01f06691-77fa-417e-acf4-fc3c3e422ccf	man	boys
01f06691-77fa-417e-acf4-fc3c3e422ccf	man	good
01f06691-77fa-417e-acf4-fc3c3e422ccf	man	throw
01f06691-77fa-417e-acf4-fc3c3e422ccf	could	man
01f06691-77fa-417e-acf4-fc3c3e422ccf	could	shouted
01f06691-77fa-417e-acf4-fc3c3e422ccf	could	boys
01f06691-77fa-417e-acf4-fc3c3e422ccf	could	good
01f06691-77fa-417e-acf4-fc3c3e422ccf	could	throw
02071829-e5ac-4531-8c2b-d7ca39fd4be2	scolded	gave
02071829-e5ac-4531-8c2b-d7ca39fd4be2	scolded	nice
0211e548-9c2b-4616-acf0-d8f416345323	relieved	decides
0211e548-9c2b-4616-acf0-d8f416345323	relieved	go
0211e548-9c2b-4616-acf0-d8f416345323	relieved	barefoot
0211e548-9c2b-4616-acf0-d8f416345323	puts	decides
0211e548-9c2b-4616-acf0-d8f416345323	puts	go
0211e548-9c2b-4616-acf0-d8f416345323	puts	barefoot
0211e548-9c2b-4616-acf0-d8f416345323	shoes	decides
0211e548-9c2b-4616-acf0-d8f416345323	shoes	go
0211e548-9c2b-4616-acf0-d8f416345323	shoes	barefoot
024086f4-fb34-4c55-a810-c18bdf9d7a58	computer	dog
024086f4-fb34-4c55-a810-c18bdf9d7a58	literate	dog
02b625bb-bc17-4255-a872-2ccc649dd529	sad	sallys
02b625bb-bc17-4255-a872-2ccc649dd529	sad	went
02b625bb-bc17-4255-a872-2ccc649dd529	sad	home
02b625bb-bc17-4255-a872-2ccc649dd529	sad	went
02b625bb-bc17-4255-a872-2ccc649dd529	sad	sleep
02b625bb-bc17-4255-a872-2ccc649dd529	sad	instead
02b625bb-bc17-4255-a872-2ccc649dd529	lost	sallys
02b625bb-bc17-4255-a872-2ccc649dd529	lost	went
02b625bb-bc17-4255-a872-2ccc649dd529	lost	home
02b625bb-bc17-4255-a872-2ccc649dd529	lost	went
02b625bb-bc17-4255-a872-2ccc649dd529	lost	sleep
02b625bb-bc17-4255-a872-2ccc649dd529	lost	instead
02b625bb-bc17-4255-a872-2ccc649dd529	wallet	sallys
02b625bb-bc17-4255-a872-2ccc649dd529	wallet	went
02b625bb-bc17-4255-a872-2ccc649dd529	wallet	home
02b625bb-bc17-4255-a872-2ccc649dd529	wallet	went
02b625bb-bc17-4255-a872-2ccc649dd529	wallet	sleep
02b625bb-bc17-4255-a872-2ccc649dd529	wallet	instead
02ca45f7-3d0b-425c-8fef-e997c6f249ac	eventually	chipmunk
02ca45f7-3d0b-425c-8fef-e997c6f249ac	eventually	terrified
02ca45f7-3d0b-425c-8fef-e997c6f249ac	eventually	bit
02ca45f7-3d0b-425c-8fef-e997c6f249ac	eventually	eds
02ca45f7-3d0b-425c-8fef-e997c6f249ac	eventually	hand
02ca45f7-3d0b-425c-8fef-e997c6f249ac	got	chipmunk
02ca45f7-3d0b-425c-8fef-e997c6f249ac	got	terrified
02ca45f7-3d0b-425c-8fef-e997c6f249ac	got	bit
02ca45f7-3d0b-425c-8fef-e997c6f249ac	got	eds
02ca45f7-3d0b-425c-8fef-e997c6f249ac	got	hand
02ca45f7-3d0b-425c-8fef-e997c6f249ac	chipmunk	chipmunk
02ca45f7-3d0b-425c-8fef-e997c6f249ac	chipmunk	terrified
02ca45f7-3d0b-425c-8fef-e997c6f249ac	chipmunk	bit
02ca45f7-3d0b-425c-8fef-e997c6f249ac	chipmunk	eds
02ca45f7-3d0b-425c-8fef-e997c6f249ac	chipmunk	hand
02ca45f7-3d0b-425c-8fef-e997c6f249ac	eat	chipmunk
02ca45f7-3d0b-425c-8fef-e997c6f249ac	eat	terrified
02ca45f7-3d0b-425c-8fef-e997c6f249ac	eat	bit
02ca45f7-3d0b-425c-8fef-e997c6f249ac	eat	eds
02ca45f7-3d0b-425c-8fef-e997c6f249ac	eat	hand
02ca45f7-3d0b-425c-8fef-e997c6f249ac	hand	chipmunk
02ca45f7-3d0b-425c-8fef-e997c6f249ac	hand	terrified
02ca45f7-3d0b-425c-8fef-e997c6f249ac	hand	bit
02ca45f7-3d0b-425c-8fef-e997c6f249ac	hand	eds
02ca45f7-3d0b-425c-8fef-e997c6f249ac	hand	hand
02cd3d4b-3668-48e2-9b43-9073bc0e592c	time	awoke
02cd3d4b-3668-48e2-9b43-9073bc0e592c	time	smell
02cd3d4b-3668-48e2-9b43-9073bc0e592c	time	freshly
02cd3d4b-3668-48e2-9b43-9073bc0e592c	time	baked
02cd3d4b-3668-48e2-9b43-9073bc0e592c	time	rolls
02cd3d4b-3668-48e2-9b43-9073bc0e592c	woke	awoke
02cd3d4b-3668-48e2-9b43-9073bc0e592c	woke	smell
02cd3d4b-3668-48e2-9b43-9073bc0e592c	woke	freshly
02cd3d4b-3668-48e2-9b43-9073bc0e592c	woke	baked
02cd3d4b-3668-48e2-9b43-9073bc0e592c	woke	rolls
02cd3d4b-3668-48e2-9b43-9073bc0e592c	casserole	awoke
02cd3d4b-3668-48e2-9b43-9073bc0e592c	casserole	smell
02cd3d4b-3668-48e2-9b43-9073bc0e592c	casserole	freshly
02cd3d4b-3668-48e2-9b43-9073bc0e592c	casserole	baked
02cd3d4b-3668-48e2-9b43-9073bc0e592c	casserole	rolls
02cd3d4b-3668-48e2-9b43-9073bc0e592c	burned	awoke
02cd3d4b-3668-48e2-9b43-9073bc0e592c	burned	smell
02cd3d4b-3668-48e2-9b43-9073bc0e592c	burned	freshly
02cd3d4b-3668-48e2-9b43-9073bc0e592c	burned	baked
02cd3d4b-3668-48e2-9b43-9073bc0e592c	burned	rolls
02e6d026-bf8c-405b-8a47-a17c3b00e8ba	everyone	went
02e6d026-bf8c-405b-8a47-a17c3b00e8ba	everyone	back
02e6d026-bf8c-405b-8a47-a17c3b00e8ba	everyone	home
02e6d026-bf8c-405b-8a47-a17c3b00e8ba	everyone	changed
02e6d026-bf8c-405b-8a47-a17c3b00e8ba	everyone	pair
02e6d026-bf8c-405b-8a47-a17c3b00e8ba	everyone	jeans
02e6d026-bf8c-405b-8a47-a17c3b00e8ba	complimented	went
02e6d026-bf8c-405b-8a47-a17c3b00e8ba	complimented	back
02e6d026-bf8c-405b-8a47-a17c3b00e8ba	complimented	home
02e6d026-bf8c-405b-8a47-a17c3b00e8ba	complimented	changed
02e6d026-bf8c-405b-8a47-a17c3b00e8ba	complimented	pair
02e6d026-bf8c-405b-8a47-a17c3b00e8ba	complimented	jeans
02e6d026-bf8c-405b-8a47-a17c3b00e8ba	choice	went
02e6d026-bf8c-405b-8a47-a17c3b00e8ba	choice	back
02e6d026-bf8c-405b-8a47-a17c3b00e8ba	choice	home
02e6d026-bf8c-405b-8a47-a17c3b00e8ba	choice	changed
02e6d026-bf8c-405b-8a47-a17c3b00e8ba	choice	pair
02e6d026-bf8c-405b-8a47-a17c3b00e8ba	choice	jeans
02e6d026-bf8c-405b-8a47-a17c3b00e8ba	clothing	went
02e6d026-bf8c-405b-8a47-a17c3b00e8ba	clothing	back
02e6d026-bf8c-405b-8a47-a17c3b00e8ba	clothing	home
02e6d026-bf8c-405b-8a47-a17c3b00e8ba	clothing	changed
02e6d026-bf8c-405b-8a47-a17c3b00e8ba	clothing	pair
02e6d026-bf8c-405b-8a47-a17c3b00e8ba	clothing	jeans
0314de5c-b96c-485e-9739-3d7a5268462c	attended	took
0314de5c-b96c-485e-9739-3d7a5268462c	attended	nap
0314de5c-b96c-485e-9739-3d7a5268462c	ceremony	took
0314de5c-b96c-485e-9739-3d7a5268462c	ceremony	nap
03286d14-3e9d-4c53-9ec0-ee91dbde46d1	cut	drank
03286d14-3e9d-4c53-9ec0-ee91dbde46d1	cut	soda
03286d14-3e9d-4c53-9ec0-ee91dbde46d1	cut	whether
03286d14-3e9d-4c53-9ec0-ee91dbde46d1	cut	would
03286d14-3e9d-4c53-9ec0-ee91dbde46d1	cut	help
03286d14-3e9d-4c53-9ec0-ee91dbde46d1	soda	drank
03286d14-3e9d-4c53-9ec0-ee91dbde46d1	soda	soda
03286d14-3e9d-4c53-9ec0-ee91dbde46d1	soda	whether
03286d14-3e9d-4c53-9ec0-ee91dbde46d1	soda	would
03286d14-3e9d-4c53-9ec0-ee91dbde46d1	soda	help
03286d14-3e9d-4c53-9ec0-ee91dbde46d1	didnt	drank
03286d14-3e9d-4c53-9ec0-ee91dbde46d1	didnt	soda
03286d14-3e9d-4c53-9ec0-ee91dbde46d1	didnt	whether
03286d14-3e9d-4c53-9ec0-ee91dbde46d1	didnt	would
03286d14-3e9d-4c53-9ec0-ee91dbde46d1	didnt	help
03286d14-3e9d-4c53-9ec0-ee91dbde46d1	drink	drank
03286d14-3e9d-4c53-9ec0-ee91dbde46d1	drink	soda
03286d14-3e9d-4c53-9ec0-ee91dbde46d1	drink	whether
03286d14-3e9d-4c53-9ec0-ee91dbde46d1	drink	would
03286d14-3e9d-4c53-9ec0-ee91dbde46d1	drink	help
03286d14-3e9d-4c53-9ec0-ee91dbde46d1	anymore	drank
03286d14-3e9d-4c53-9ec0-ee91dbde46d1	anymore	soda
03286d14-3e9d-4c53-9ec0-ee91dbde46d1	anymore	whether
03286d14-3e9d-4c53-9ec0-ee91dbde46d1	anymore	would
03286d14-3e9d-4c53-9ec0-ee91dbde46d1	anymore	help
03494e6b-cf8e-44a0-a4a8-5d6efabb138c	played	first
03494e6b-cf8e-44a0-a4a8-5d6efabb138c	played	gig
03494e6b-cf8e-44a0-a4a8-5d6efabb138c	played	realized
03494e6b-cf8e-44a0-a4a8-5d6efabb138c	played	never
03494e6b-cf8e-44a0-a4a8-5d6efabb138c	played	learned
03494e6b-cf8e-44a0-a4a8-5d6efabb138c	played	play
03494e6b-cf8e-44a0-a4a8-5d6efabb138c	small	first
03494e6b-cf8e-44a0-a4a8-5d6efabb138c	small	gig
03494e6b-cf8e-44a0-a4a8-5d6efabb138c	small	realized
03494e6b-cf8e-44a0-a4a8-5d6efabb138c	small	never
03494e6b-cf8e-44a0-a4a8-5d6efabb138c	small	learned
03494e6b-cf8e-44a0-a4a8-5d6efabb138c	small	play
03494e6b-cf8e-44a0-a4a8-5d6efabb138c	venues	first
03494e6b-cf8e-44a0-a4a8-5d6efabb138c	venues	gig
03494e6b-cf8e-44a0-a4a8-5d6efabb138c	venues	realized
03494e6b-cf8e-44a0-a4a8-5d6efabb138c	venues	never
03494e6b-cf8e-44a0-a4a8-5d6efabb138c	venues	learned
03494e6b-cf8e-44a0-a4a8-5d6efabb138c	venues	play
03494e6b-cf8e-44a0-a4a8-5d6efabb138c	regularly	first
03494e6b-cf8e-44a0-a4a8-5d6efabb138c	regularly	gig
03494e6b-cf8e-44a0-a4a8-5d6efabb138c	regularly	realized
03494e6b-cf8e-44a0-a4a8-5d6efabb138c	regularly	never
03494e6b-cf8e-44a0-a4a8-5d6efabb138c	regularly	learned
03494e6b-cf8e-44a0-a4a8-5d6efabb138c	regularly	play
03494e6b-cf8e-44a0-a4a8-5d6efabb138c	became	first
03494e6b-cf8e-44a0-a4a8-5d6efabb138c	became	gig
03494e6b-cf8e-44a0-a4a8-5d6efabb138c	became	realized
03494e6b-cf8e-44a0-a4a8-5d6efabb138c	became	never
03494e6b-cf8e-44a0-a4a8-5d6efabb138c	became	learned
03494e6b-cf8e-44a0-a4a8-5d6efabb138c	became	play
03494e6b-cf8e-44a0-a4a8-5d6efabb138c	well	first
03494e6b-cf8e-44a0-a4a8-5d6efabb138c	well	gig
03494e6b-cf8e-44a0-a4a8-5d6efabb138c	well	realized
03494e6b-cf8e-44a0-a4a8-5d6efabb138c	well	never
03494e6b-cf8e-44a0-a4a8-5d6efabb138c	well	learned
03494e6b-cf8e-44a0-a4a8-5d6efabb138c	well	play
03494e6b-cf8e-44a0-a4a8-5d6efabb138c	known	first
03494e6b-cf8e-44a0-a4a8-5d6efabb138c	known	gig
03494e6b-cf8e-44a0-a4a8-5d6efabb138c	known	realized
03494e6b-cf8e-44a0-a4a8-5d6efabb138c	known	never
03494e6b-cf8e-44a0-a4a8-5d6efabb138c	known	learned
03494e6b-cf8e-44a0-a4a8-5d6efabb138c	known	play
034ddf2b-5a92-421d-8e8b-7329394d9322	able	mad
034ddf2b-5a92-421d-8e8b-7329394d9322	able	parents
034ddf2b-5a92-421d-8e8b-7329394d9322	buy	mad
034ddf2b-5a92-421d-8e8b-7329394d9322	buy	parents
034ddf2b-5a92-421d-8e8b-7329394d9322	new	mad
034ddf2b-5a92-421d-8e8b-7329394d9322	new	parents
034ddf2b-5a92-421d-8e8b-7329394d9322	skateboard	mad
034ddf2b-5a92-421d-8e8b-7329394d9322	skateboard	parents
03905bf7-d46d-4093-b5e4-9f7c74dbcd18	completely	never
03905bf7-d46d-4093-b5e4-9f7c74dbcd18	completely	bettertasting
03905bf7-d46d-4093-b5e4-9f7c74dbcd18	completely	chicken
03905bf7-d46d-4093-b5e4-9f7c74dbcd18	completely	life
03905bf7-d46d-4093-b5e4-9f7c74dbcd18	cooked	never
03905bf7-d46d-4093-b5e4-9f7c74dbcd18	cooked	bettertasting
03905bf7-d46d-4093-b5e4-9f7c74dbcd18	cooked	chicken
03905bf7-d46d-4093-b5e4-9f7c74dbcd18	cooked	life
03905bf7-d46d-4093-b5e4-9f7c74dbcd18	burger	never
03905bf7-d46d-4093-b5e4-9f7c74dbcd18	burger	bettertasting
03905bf7-d46d-4093-b5e4-9f7c74dbcd18	burger	chicken
03905bf7-d46d-4093-b5e4-9f7c74dbcd18	burger	life
03905bf7-d46d-4093-b5e4-9f7c74dbcd18	delicious	never
03905bf7-d46d-4093-b5e4-9f7c74dbcd18	delicious	bettertasting
03905bf7-d46d-4093-b5e4-9f7c74dbcd18	delicious	chicken
03905bf7-d46d-4093-b5e4-9f7c74dbcd18	delicious	life
