storyid,answer,sentence1,sentence1_sentiment,sentence1_sentiment_score,sentence2,sentence2_sentiment,sentence2_sentiment_score
36df2002-92f3-4a85-ac47-8df95d219cb2,2,She was disappointed.,Negative,0.00,She had a wonderful time.,Positive,0.96
f2a6a95f-5396-4984-a7a5-06df5b948f40,2,He cried incessantly and begged to go home.,Positive,0.91,He thanked his parents for taking him to a movie.,Positive,0.84
b58034b4-b513-4b73-86e5-57755b8fc4d2,1,He couldn't find the tuna.,Negative,0.10,He didn't look for the tuna.,Negative,0.06
97d25389-0521-4516-bafc-2cec760dbd4a,2,She had been away on a trip in Alaska for some time.,Positive,0.78,To his relief she accepted.,Positive,0.86
59201852-aca6-4676-a477-b7c6e6707679,2,Lira became one of the rapper's roadies.,Neutral,0.68,Lira never listened to the rappers music again.,Negative,0.17
1ca57071-a5bb-4dcc-b0bf-d5321e6e3845,1,Caitlin felt guilty and came clean to her mom.,Positive,0.98,Caitlin's sister took the punishment justly.,Positive,0.79
bb99b560-0513-4756-88fc-0c6aa8cecadb,1,Andrea introduced the dog to the family.,Positive,0.97,Andrea gave the dog to a stranger.,Positive,0.77
8cbd5a81-89cb-433c-a34d-ced88c0fdd8d,2,Will was very upset that Anna said yes.,Negative,0.10,They got married eight months later.,Neutral,0.55
65afbe34-fc9d-4834-88b0-64e40acf5a6e,1,Each time she rode a different animal making her happy.,Positive,0.96,Ellie cried both times because she didn't want to ride the ride.,Positive,0.90
758bfe67-dfe7-4908-93fa-d5825f703f96,1,My friends stopped playing to help me off the field.,Positive,0.92,I got back up to finish the game.,Neutral,0.53
93405aa3-0d24-4bba-8aa8-3a7d4d91bf29,1,My rehab therapist is motivational.,Positive,0.99,My rehab therapist is a narcissist.,Negative,0.07
ee44e2e3-efc7-4529-8755-2ff5ac1897d9,2,My girlfriend just completed a degree in Soil Management.,Positive,0.80,I took them back to the store and got a different size.,Negative,0.14
63a75f76-2746-410e-b102-9dbf97c164e0,2,A stranger had stolen her purse.,Neutral,0.53,A stranger had found her purse and returned it to the restaurant.,Negative,0.10
05e5583a-c950-49f3-a03e-80d7f9ccefa6,2,"Pete quit his job, and never looked back.",Positive,0.75,A year later he was promoted again.,Neutral,0.74
ddda87a3-3139-44fe-8593-6fd6fd643a3c,2,I was not happy to hear from her so we broke up.,Negative,0.03,I was really happy to see her and we made plans.,Positive,0.97
d05b6efe-0ec1-441d-9d53-200701babc6b,2,She couldn't help but burst into peals of laughter.,Neutral,0.52,She tried to be as quiet as possible while she sobbed.,Negative,0.19
df758982-8116-4c76-b7cb-5f67e0a97914,2,Gina was sad.,Negative,0.20,Gina had a great time.,Positive,0.98
5a71cb4d-23f8-465a-84ac-a69ca56dfa07,2,Agatha decided to buy two more.,Positive,0.98,Agatha decided to return them.,Negative,0.06
c6653f2f-77a9-4adc-8dd6-64754847a6f3,2,Their parents said they had to complete their chores first.,Neutral,0.44,"Their parents said yes, and they went to the movies.",Positive,0.84
20165765-4bc3-4a45-9c22-44ff8fd303c5,1,He did a great job.,Positive,0.98,He told me to cut it myself.,Positive,0.83
3ea721b1-70dd-4222-b25d-4273e80ae312,2,Sandra told the agent to leave her alone.,Neutral,0.47,So she got cozy with the agent.,Positive,0.96
7b25f5dd-7081-47e1-99ee-ef1bdc679a00,1,She then brought out a cake and they all felt better.,Neutral,0.70,She told them that she did not have the cake.,Negative,0.17
16ac16d6-41a4-49f4-a3e1-ec242ce8f921,1,Before long Sarah began getting better at Algebra.,Positive,0.77,Then Sarah gave up on learning Algebra.,Neutral,0.31
3db2f1f0-1ec7-4738-b3c5-154b63000671,2,Lewy decided to throw all the worthless tractor parts away.,Negative,0.01,He built his very own tractor.,Positive,0.87
ed594d9e-4c0f-4110-be41-95859a167e16,1,Bill was the proudest.,Neutral,0.61,Bill is ashamed.,Negative,0.06
83749a3e-53e3-4e7e-9511-ca63638aca7e,1,Dan was able to find an owner for the dog.,Positive,0.93,Dan gave up and released the dog back into the wild.,Neutral,0.60
6ef9c54c-5c2e-4134-8ac0-0e3c978cdb0c,1,A passer-by helped her up and helped her collect the papers.,Positive,0.99,The teacher got up and walked home leaving the papers behind.,Neutral,0.25
a4649658-7420-442a-8b13-336f991a2e0c,1,The Bradleys then had a great camping trip.,Positive,0.92,The Bradleys turned around and drove home.,Neutral,0.41
a5af376d-4177-4abd-b85d-3645e120fce5,2,Don and his wife gave up and went home.,Neutral,0.60,Don and his wife got the movie.,Neutral,0.65
0ff6265a-5399-49ee-84d4-422a40a342c2,2,Missy got another tattoo on her cheek.,Positive,0.78,"After much wasted money, the tattoo was gone.",Negative,0.10
ad95df27-042e-492f-8762-8ba1de02b471,1,Jon was happy to see his weight loss results.,Positive,0.93,John had a burger and fries for dinner.,Positive,0.78
157ed81f-52a5-4cdc-934c-6ee421675cc9,1,The home team's stands were full when the game began.,Neutral,0.54,No one in town cared to attend the game.,Negative,0.09
5c609bdb-3a4f-4f3f-a50b-0f8246ee6841,1,All of his roommates made coffee.,Neutral,0.69,All of his roommates were sick of coffee.,Negative,0.15
71fbcabb-27b4-4449-a161-a8af8e3d4d8f,1,Maggie and her dog are best friends.,Positive,0.97,Maggie hates to spend time with her smelly dog.,Negative,0.10
41963889-83cc-409d-9bdb-fc26eeb460c2,2,Ella was mad because her boyfriend was so critical.,Neutral,0.50,Ella realized it really didn't matter what dress she chose.,Neutral,0.28
d0797834-8c42-44cd-8d2c-3fee56b84e28,1,Ben never starts working out.,Neutral,0.39,Ben goes to the gym every day.,Positive,0.98
337bde69-adb0-4fb5-aedf-03185ea882d5,1,Our daughter was very thankful for the gift.,Positive,0.99,Our daughter felt depressed.,Negative,0.06
519cc090-8a11-486c-89e4-1e4c20a41ba5,1,Chris then opened a business and became successful.,Positive,0.87,Chris could not sell any eggs.,Negative,0.11
638b4ccf-e7cd-4974-bfe4-5500f2342523,1,"After listening, the kids then made wonderful art.",Positive,0.84,The kids then began to write their own songs.,Negative,0.22
ef111a9f-243a-422d-b95a-a367fac80162,2,Mom slapped Chief Brody for not closing the beaches.,Negative,0.17,Mom will never shop at that store at night again.,Positive,0.99
8c5e75c6-2905-47e6-87c0-0af7673ae9e0,2,They spent the afternoon reading books together.,Neutral,0.69,Finally Sal got to the next level with the help of his cousin.,Positive,0.99
378d475a-fc83-43bc-8c98-c2df16f26edb,1,"After he quit, he managed to find a better job.",Neutral,0.68,Will was then fired from his job.,Neutral,0.56
d64ddc27-16fe-4489-a3e9-dbb6c87fb10b,2,Bob proudly showed his house to the cleaners.,Positive,0.89,Bob was nervous about what the cleaners would think of him.,Neutral,0.25
f750d7c0-1f23-4f93-807f-7fad39c5f756,1,It was a spectacular and memorable night.,Positive,0.99,My girlfriend did not want to go on anymore dates with me.,Neutral,0.33
3f01b38e-acfc-4869-81ff-72aacca3364f,2,I did not find the food tempting at all.,Negative,0.01,I gave in and accepted the food since I was hungry.,Positive,0.86
26bc6970-8091-4aac-9342-6d0484149753,1,She asked the shelter worker about adopting the dog.,Neutral,0.60,She swatted the dog with a newspaper.,Negative,0.21
775d05ad-1b95-4b34-92cd-3d61c21b1b26,2,Rufus was not very musical.,Negative,0.01,Rufus had determination.,Positive,0.88
6ef7b889-f58d-477a-8539-50aaf66f0176,1,The story quickly replaced his stereo.,Positive,0.92,The stereo was perfectly fine.,Positive,0.82
c5a1ae49-1b72-4d04-b8af-c1af12f0bb2c,1,"Fortunately, her son was too young to remember her mistake.",Negative,0.21,She was very proud of herself.,Positive,0.83
9f8aab3c-1a0f-4eed-8b64-e608fa9a4543,2,Kate did not sell any doughnuts.,Negative,0.07,Kate won one hundred dollars.,Negative,0.15
e3626fc9-6432-454e-b5b4-265179b2d5a6,1,His family loved it.,Positive,0.98,It was the best apple juice that they had ever had.,Positive,0.97
b47f0177-fb6c-4020-8f14-c5bcf6fe6939,2,Lily hated writing.,Negative,0.01,Lily enjoyed writing the book.,Positive,0.96
4c8883cb-73d7-48ff-801c-75ced9d95170,1,Drew made a mess.,Negative,0.02,Drew kept his car clean this way.,Positive,0.92
e8ba9921-bf45-4468-a39f-3e6c930a3e7d,2,Sally was happy.,Positive,0.97,The phone broke.,Negative,0.01
8863dc86-394e-47e0-9de9-f54309abad09,2,Gordon thought overgrown grass was rustic and appealing.,Neutral,0.59,The engine roared and off Gordon went.,Neutral,0.68
10ec321a-ddc6-499f-bf2b-542e167250d2,1,"So, Mary decided to walk to work rather than wait for the bus.",Neutral,0.51,"So, Mary decided to go get a coffee rather than wait for the bus.",Neutral,0.66
76034386-c725-4321-9ce2-1e03d66240c6,2,I could not come up with any ideas.,Negative,0.01,I made the painting and felt proud.,Positive,0.88
21d5987f-b5ad-4e49-a357-24656f8297ba,2,Cora then confronted Dawn about doing it.,Positive,0.93,Dawn felt happy about getting away with it.,Positive,0.98
f9d1c218-e5b6-4e71-81e2-aa0a38b4c194,2,Sam hated it.,Negative,0.13,Sam liked it.,Positive,0.97
2fba4e13-033a-4565-9d55-e93b657d612a,2,Alma wished she had never gone to that restaurant.,Positive,0.88,A year later they were married.,Neutral,0.70
b1ce827f-c02a-44bb-9e57-1389fa4de61b,1,Tim is happy to go to the coffee shop every day .,Positive,0.98,Tim opens his own coffee shop across the street.,Positive,0.76
dbb4290a-f09a-4e39-bce2-c02bc4523371,2,The cake still wasn't prepared correctly.,Negative,0.04,"The wine tasted delicious, which made me very happy.",Positive,0.99
414c2f58-97ba-4daf-8b4b-b2c60b98d53a,2,They buy a yacht.,Neutral,0.35,They find out the house has already been sold.,Neutral,0.61
561e81b2-6b07-4e26-9b50-1260e6a54a15,2,Kate and Greg licked the candy gleefully.,Negative,0.06,"Afraid of germs, Kate and Greg threw the candy in the trash.",Negative,0.01
7ce36834-7cbd-4dac-ae56-5e9751e6ac41,2,Larry enjoyed the interaction he received from those artists.,Positive,0.99,Larry learned a lot about copyright from his experience.,Positive,0.84
8a13968a-f0d1-45b9-9681-6e7f1e62d8dd,2,They decided to never return to the resort.,Negative,0.02,They had more fun at the resort than they would have at the park.,Positive,0.86
a85bbab2-b969-4cf8-8311-654248998a15,2,I slammed down a glass and stormed out of the restaurant.,Neutral,0.75,We had a great time together.,Positive,0.98
b4204292-432e-45e8-90e4-f3f32bc47dda,2,I thoroughly enjoyed the experience.,Positive,0.98,I'll never buy Proactiv again.,Neutral,0.44
57160326-a162-4d6c-b89f-462e791ee2e6,1,They said yes!,Positive,0.86,Amy hated her family.,Negative,0.12
5b47e430-5091-4eb8-8302-47c19832a116,1,So Shannon decided to look for her necklace at home.,Positive,0.92,Shannon bought a dog to replace it.,Neutral,0.60
541a184b-65b9-476a-825b-265850909595,1,Sandy could now see in her home.,Positive,0.96,Sandy still could not see in her home!,Positive,0.78
0f08a625-ab0c-4765-b75e-45995e33ae40,2,Her parents stole her key.,Neutral,0.61,So she borrowed the money from a friend.,Neutral,0.40
95f09827-5e58-476f-832d-c7b1ccd291fa,2,Hank bought a black car.,Positive,0.80,Hank was disappointed there weren't any white cars left in stock.,Negative,0.02
4d23c38d-b4ab-4cca-b20c-526d3c332f72,2,It's bound to be the best Christmas ever.,Positive,0.99,I think she'll be surprised and delighted by all of it.,Positive,0.99
8c5c57e0-ce91-4524-84bb-ce940188285a,2,Clayton gives his car away.,Positive,0.81,Clayton is very happy with his new car.,Positive,0.98
ae83001d-198d-409d-9797-4c25968ef013,1,Now Horatio enjoys traveling to many big cities.,Positive,0.99,Horatio will never travel to a big city again.,Positive,0.92
9cf14323-6119-4c8f-8ef4-9e7f60e9bd15,2,He jumped up and several of the bees stung him.,Negative,0.20,"He jumped, startled and ran for his house.",Neutral,0.45
0d0995c0-70b3-43f1-9068-f3ae5dc80b47,2,Henry wished he looked like the handsome mailman.,Positive,0.80,His dad's teasing makes Henry feel bad.,Negative,0.21
85f9cc45-fbdb-4a78-8f11-cea72d3bd788,1,Samantha likes the color of her car now.,Positive,0.98,Samantha thinks her bus looks pretty now.,Positive,0.96
d694bc2e-4e44-48a7-a1e0-6034d45a86a2,2,Alex skipped his Economics class because it was so hard.,Neutral,0.26,Alex started a home business as one extra credit assignment.,Positive,0.94
0a52135e-5599-48d0-876b-5df91046beb8,1,Ivan apologized and turned the oven off.,Negative,0.03,They were all pleased that Ivan had turned on the oven.,Positive,0.81
8f55a729-3a3f-477a-a41b-f2dae9c3a421,2,The worker told Molly to keep using the computer she had at home.,Positive,0.97,The worker recommended a few different computers to Molly.,Positive,0.79
02071829-e5ac-4531-8c2b-d7ca39fd4be2,1,He was scolded.,Negative,0.17,She gave him a cookie for being so nice.,Positive,0.93
0a030540-dd8b-4ea2-8951-7d18683dce9a,1,"Before long, he was a happy and successful pig farmer.",Positive,0.84,Greg got a job at a competing pharmacy for more money.,Positive,0.95
4201794f-5b4d-4d87-8bc0-c45b465cae07,1,The man was caught cheating.,Negative,0.04,The man was glad he didn't cheat.,Negative,0.24
45e967df-f624-4d7e-a2b5-70b6fc8ab280,1,Maya felt scared.,Negative,0.14,Maya started to laugh.,Neutral,0.32
510aa9fe-40c2-45b8-8e42-4420b55430e2,2,Her mom and dad were ashamed of her.,Neutral,0.28,Gina was happy that she got to see her show.,Positive,0.97
62e0c771-4e9f-4b38-bab5-b24b9636d34f,1,Anna was proud of her hard work paying off.,Neutral,0.26,Anna was upset about doing poorly.,Negative,0.02
9ff1fcea-3214-4e1f-8383-c201d09cc798,1,Neil fed the dog all of his eggplant.,Neutral,0.72,Neil then decided to eat the eggplant himself.,Negative,0.24
4016db84-e1f7-4422-8659-cd0b738356dc,1,Cara's husband decided to go buy wood.,Positive,0.93,Cara's husband decided to go back to college.,Positive,0.81
abbb91c6-5669-4d2c-9587-e7500ea0177c,2,The teacher yelled at the girl who had tripped.,Neutral,0.54,Everyone in the class was very excited!,Positive,0.98
d345193c-1e94-457c-80f7-9eed7333f030,1,She arrived to her sister's house afterwards.,Positive,0.93,Tanya never saw her sister again.,Negative,0.15
3922289b-0ae4-43d6-85ee-2b0d7bd42d4c,2,"My husband loves to clean the dishes,",Positive,0.99,But I do it anyway because I'm afraid he will leave me.,Neutral,0.55
2eaf7ccf-73ab-4aea-8e2a-45a80a187d61,1,He sighed and kept watching the movie.,Positive,0.94,Joe found the movie very interesting and hated the pause button.,Positive,0.96
09578abd-d8e2-470a-8540-80b85346141c,1,He said yes.,Positive,0.87,Sarah told John that she loves pineapple.,Positive,0.98
6fde7e0e-1197-4d89-b9a4-403b59d9887d,1,Sarah save the video.,Neutral,0.55,Sarah ate all the burritos.,Negative,0.03
2936e40e-5aab-435a-bf3c-3a1de62ed338,1,Amy was disappointed.,Negative,0.00,Amy thought they tasted great.,Positive,0.99
2657a777-a5fd-4be8-9ef0-99d382bab8e1,1,The family was glad they spotted the museum.,Positive,0.89,The family felt they had wasted their time.,Negative,0.01
2e12212c-ed3c-45e8-bccd-ee874d63b50b,2,Jean dropped a letter in the mailbox.,Neutral,0.60,"Soon, Jean had two pet anoles.",Neutral,0.42
4c70ef85-39c9-40b5-b8c2-ed583a4fec32,1,Petey was so disappointed that the game was gone.,Negative,0.10,Petey was very happy that the game was gone.,Positive,0.86
462f4732-5321-4ed5-ad67-2f7bb3668062,2,Tom dropped to a knee and asked Peyton to marry him.,Positive,0.83,Tom was a bad sport and punched Peyton in the face.,Negative,0.04
723bb352-5879-4290-8042-3b26234616cc,2,Pam's friends won't talk to her anymore.,Positive,0.90,Josh revealed he was in love with Pam too.,Positive,0.95
278491fa-b371-4584-a0ed-efd4828152bd,1,All got a strike and was very happy.,Positive,0.98,All was sad at the possibility of getting a strike.,Neutral,0.39
042bce3b-4390-4d30-9971-eb7a4698b081,2,Roberto was disappointed.,Negative,0.01,Roberto liked to train others how to box.,Positive,0.91
bd5285ad-4f22-416e-8a98-65465aa28894,1,Eric then left work to go settle down.,Neutral,0.57,Eric then worked harder than ever and got promoted.,Neutral,0.37
deb144db-8fc2-4831-9f81-ffbf2ce4672a,1,She was mad when I showed it to her.,Negative,0.18,She was happy.,Positive,0.97
89414e2e-95c2-4d6f-a2b5-19cee41fb2aa,2,Jane decided not to go swimming anymore.,Neutral,0.44,"After that, she decided to carry mace with her when jogging.",Neutral,0.60
52951275-b083-4699-96aa-b9b51a1dcdbf,2,Susie was angry at the goat.,Negative,0.04,Susie loved the goat very much.,Positive,0.94
c7c0e303-15b4-4512-b4d6-c1562789ef1d,1,She found a wonderful home right by her job.,Positive,0.97,Deb wanted to meet new people.,Positive,0.89
d111bb32-6d86-4808-a89b-0f062ed376a8,2,Both of them did not do well on the test.,Negative,0.01,"Unfortunately, it was the girl who scored well.",Negative,0.19
ec172df0-31b5-4d9e-8d7b-3d1f42b112e5,1,They gave Tom a new latte with less ice.,Positive,0.79,They gave Tom a new latte with more ice.,Positive,0.89
14467307-8fc5-417c-bae2-200254c88409,2,Andrew's boss gave him a raise for his excellent performance.,Positive,0.96,Andrew said that he was going to have to find a new career.,Neutral,0.28
da76e433-6bf9-41c9-851b-6309e93e408b,2,The cat jumped in the opposite direction.,Negative,0.05,The cat caught a mouse.,Neutral,0.70
e1964379-b060-4ac9-8328-aa5bacb173a0,2,I decided to drink some margaritas that night.,Neutral,0.72,I called my friend who loves basketball and asked him for help.,Positive,0.82
23ce0223-a3e0-4f08-a638-7b5869e258f9,1,I was lucky to make it to the hospital.,Neutral,0.46,I prefer to take an ambulances.,Negative,0.22
8a28ed52-b6da-4e0e-b87e-c46671dddba2,1,Kyrie yelped and ran away from her cat.,Neutral,0.30,Kyrie and the mouse then played.,Neutral,0.63
7d5bf594-14df-496b-8e54-3c36b31420d9,1,Billy exchanged several of his coins for the baseball.,Positive,0.93,Billy told the boy the baseball was stupid.,Negative,0.09
c7944b19-ba00-4fa4-9ebf-af7f044c0e5c,2,Kim loved her body shape.,Positive,0.95,Kim had body image issues.,Negative,0.06
08b2f43a-9110-4db9-9445-ac5ac57343cb,2,Lucy was so disappointed.,Negative,0.00,Lucy was ecstatic!,Positive,0.97
a4fec03f-9145-4d04-a93a-72ec32d3e46a,2,Jill ran for president.,Neutral,0.60,"Sitting on her bed was a small, grey kitten.",Negative,0.14
9681b901-a110-45cb-bedb-f5de4f3673cf,1,Ben was devastated.,Neutral,0.67,Ben decided to become a commercial driver.,Neutral,0.64
8dd0b94a-a7d5-4357-a266-ba0e926cdf4b,2,Kim vowed to never return to Paris.,Negative,0.22,Kimmy was very excited.,Positive,0.84
848f40ae-f425-4998-ae86-ddc0f41d764a,1,Colin made lots of friends.,Positive,0.97,All the kids at Colin's school hated him.,Neutral,0.48
75768124-6fef-47e1-9db9-c930f00ed3c7,1,I'm sure I'll figure out a place for it eventually.,Neutral,0.50,"The picture has a very nice frame, in my opinion.",Positive,0.89
9fb34bc0-6e5b-4937-9ae9-ec2e00cd25e0,1,We are happy about having a child.,Positive,0.95,We are sad about having a child.,Neutral,0.35
859d7085-b262-4142-815d-b46a10e930bb,2,Bob contemplated how unfriendly the world was.,Neutral,0.31,Bob believed that there were good people in the world.,Positive,0.83
