InputStoryid	0	story	rightanswer	wronganswer	cogcomp	jonbean	lizhongyang	mflor	msap	niko	rocnlp	roemmele	sjtuadapt	tbmihaylov	teampg	teamukp	rightanswer_len	wronganswer_len	diff_len	rightanswer_numwords	wronganswer_numwords	diff_numwords
d5e56f64-9563-4504-9fe8-e64d340fa777	0.2	The Smith's house was in sad shape. They had been saving for a renovation and today was the day. All the old and dreary looking parts of the house were redone. The builders did an amazing job.	They had a happy dinner in the kitchen,	The Smiths were mad at the builders.	1	0	0	0	1	1	0	0	0	0	0	1	39	36	1	8	7	1
aed96c3e-5747-482a-8ff8-0d48c0de7f2e	0.2	Sam wrote a letter to his mother. He dropped off the letter in the mailbox. He was surprised to find that his mother did not receive his letter. She waited for a month for it to arrive.	Sam tried to send his letter again.	Sam's mother was happy that the letter never came.	1	0	0	1	1	0	0	0	0	0	1	0	35	50	0	7	9	0
ad4b3918-48ea-485f-8b59-6dabe1899ecd	0.2	Kevin had recently fallen ill and was hospitalized. He stayed a few weeks in the hospital before he got better. When he got home he received a bill for $100,000. Kevin did not have any health insurance.	Kevin declared bankruptcy,	Kevin call his insurance company about the bill.	1	1	0	0	1	0	0	0	0	0	0	1	26	48	0	3	8	0
f62b254f-3afd-42ce-be68-79c108f9647e	0.2	Kay loved Ice Cream. She visited Cold Stone and discovered they had cinnamon ice cream. She ate cinnamon ice cream every week for 3 months. One day she returned and was told the ice cream was no longer sold.	Kay was crushed!	Kay was relieved because she had moved on to peppermint.	1	1	0	0	1	0	0	1	0	0	0	0	16	56	0	3	10	0
7ccaadda-a483-45a9-9709-2f3957398266	0.2	It was Dan's turn to present his research project. He stood up in front of the class and started talking. One of the classmate's phone rang in class. She immediately turned it off.	Dan became slightly flustered.	She then turned it back on to check her messages.	1	0	0	0	1	0	0	1	0	1	0	0	30	49	0	4	10	0
b7932094-6c02-4c73-ac78-30e749270130	0.2	Bob has heard that yoga will help him reduce his stress. He decides to attend a beginners yoga class. However, he finds that the poses are difficult and uncomfortable. One pose even makes his back ache.	Bob thinks he should stop trying to do yoga.	Bob thinks all of his friends should come to yoga with him.	1	0	0	1	1	0	0	0	0	0	1	0	44	59	0	9	12	0
b6bcfca0-9ef4-4b22-b846-af2f9688ab71	0.2	Chuck stepped the cabin cruiser and onto the dock. The boat was new as was his knot tying skills. He quickly tied off the boat. The line was long for the restaurant but he eventually got a table.	Chuck then ordered food and was happy with the service.	Chuck couldn't get a table so he left.	1	1	0	0	1	0	0	0	0	1	0	0	55	38	1	10	8	1
43a3c9e0-976d-4f20-93df-15faf6af2854	0.2	Melanie's smoke detector's alarm went off every time she made toast. She put up with the annoyance for two years. Finally, one day she decided to unplug the smoke detector. That very day, a real fire started in her apartment.	Melanie's house ended up burning down.	Melanie put the large fire out with her foot.	1	0	0	0	1	1	0	0	0	1	0	0	38	45	0	6	9	0
91806715-182f-4f51-ab27-5658d6780953	0.2	Sarah and Dan were looking for a new apartment. Their friend heard about this process. He wanted to live with them in the new city. He got a job in the same city.	Sarah and Dan had a loyal friend.	Sarah and Dan's friend wasn't close to them.	1	1	0	0	1	0	0	0	0	1	0	0	33	44	0	7	8	0
17327f3c-eacd-4a26-8d7c-bf4d0575afd3	0.2	Hector was going to propose to his girlfriend Sarah. He took her to the park to enjoy a nice romantic picnic. An airplane was scheduled to fly a banner above to ask the question. Hector saw the plane flying over and told Sarah to look up.	Sarah said yes.	The plane banner said what a nice day.	1	0	0	0	1	0	0	1	0	0	0	1	15	38	0	3	8	0
4745d627-be9b-45f2-ad92-99c82cc83f85	0.2	Avery was married with children. She was tired of her boring life. One day, she decided to meet up with an old boyfriend from college. She made poor decisions that night and was unfaithful to her husband.	Avery regretted what she did the next day.	Avery thought her children would be happy with her decision.	1	0	0	1	1	0	0	0	0	0	1	0	42	60	0	8	10	0
87aa1560-0c24-4a6d-8507-6ae058e4422a	0.2	My roommate is from Germany. He is a very good cook. One day, he made some sausage for me that he ate back home in Germany. The sausage turned out poorly, according to him.	I loved them anyway.	I thought the cereal was delicious.	1	1	0	0	1	0	0	0	0	0	0	1	20	35	0	4	6	0
43268de7-65f6-4d73-8ff4-9ca912308fba	0.2	Nancy just came home from work. She grabbed her phone after it vibrated. She received a message from her boyfriend, who asked her to break-up. When she called him, he didn't pick up his phone.	She left him a very angry voicemail.	She sent him a text asking if he wanted to see a movie.	1	0	0	1	1	0	0	1	0	0	0	0	36	55	0	7	13	0
21080e75-ac08-4c76-a8a3-dca85d71c1cb	0.2	Jim was in high school as he heard the tell tale tornado siren. He felt a growing panic as he saw the green color of the sky. Everyone moved into the hallway and kept their backs to the wall. He heard the whipping wind grow stronger outside.	Jim was scared.	Jim went outside to look for his dog.	1	1	0	0	1	0	0	0	0	0	0	1	15	37	0	3	8	0
ec78b636-42c9-4d47-b7b7-bbb1b5a2e366	0.2	We went to Hawaii this summer. I was so excited to go. The island was beautiful. I have never seen such a clear ocean.	I could see fish swimming in the coral reef.	I couldn't see the shark that attacked me in the ocean.	1	1	0	0	1	0	0	1	0	0	0	0	44	55	0	9	11	0
43ff94c9-d83c-4ac5-bb44-d91f808c1e61	0.2	Feliciano went olive picking with his grandmother. While they picked, she told him stories of his ancestors. Before he realized it, the sun was going down. They took the olives home and ate them together.	Feliciano was happy about his nice day.	The pair then went out to pick olives.	1	0	0	0	1	0	0	1	0	1	0	0	39	38	1	7	8	0
13a6ede0-8275-4a5b-b9f6-921978ebc8c5	0.3	Gina went to her room to begin working on her report. She found the subject boring. She kept daydreaming. She hadn't realized how long her mind had been wandering.	When Gina looked at the clock, she saw she had wasted an hour.	Gina decided she was working to briskly and should take a break.	1	1	0	0	1	1	0	0	0	0	1	0	62	64	0	13	12	1
ebd77568-058e-47db-96dc-f1c8db01cd79	0.3	Gina was sad. Her first day of high school hadn't turned out as she hoped. She spent most of the day waiting to enroll. She was alone for most of that time, and lunch was lonely too.	When Gina went home she cried to her mom.	When Gina went home she told her mom what a great day she had.	1	1	0	1	1	0	0	0	0	0	0	1	41	62	0	9	14	0
8e553f62-f2aa-445c-8fd6-7e92d6b94d0f	0.3	Dan flew out to Spain because he was in love with a girl. It was someone he had corresponded with on Facebook. Dan and the girl met over drinks, and Dan fell even more in love. At the end of the date, the girl told Dan she wasn't interested.	Dan became depressed for a year.	That date became Dans happiest memory.	1	1	0	0	1	0	1	0	0	1	0	0	32	38	0	6	6	0
3de35df6-05ac-4d2a-81bd-2e7fe30c5342	0.3	Jake was studying hard for his ACT test. He wanted to do well so he could get into a good college. Jake went into his test very prepared. He got a perfect score on his test!	Jake got into a great college.	Jake was unable to get into college because of his ACT score.	1	0	0	1	1	0	0	0	0	0	1	1	30	61	0	6	12	0
01ba0600-2b67-4bd1-be61-35edd41d9a50	0.3	Linda always wanted to learn to ice skate. She asked her mom to sign her up for lesson. She fell over and over again. She kept practicing every day.	Linda was determined.	Linda gave up easily.	1	1	0	0	1	0	1	0	0	0	1	0	21	21	0	3	4	0
5cd3e1df-12d5-4e33-9ce2-6846a2a881aa	0.3	Lauren was an unusual girl. Unlike many girls who feared bugs, Lauren loved them. She was fascinated by their structure and movements. Lauren's friends made fun of her for her strange interest.	Lauren didn't care and continued to study bugs.	Lauren went for a ride on her horse.	1	0	0	0	1	1	0	1	0	1	0	0	47	36	1	8	8	0
e6057ea7-eef6-41c8-914f-4397202d7341	0.3	Kate was on a field trip to the park. She loved the monkey bars the most. There was a line to use them when she got there. When it was her turn, she hopped up gleefully.	She had fun climbing.	She was very disappointed.	1	0	0	1	1	0	0	1	0	0	1	0	21	26	0	4	4	0
a6537ce0-9dea-4767-b784-32009ff760de	0.3	Rachel loved to sing. Her parents and friends told her she was good at it. Rachel uploaded videos onto youtube of her singing. People said she was off key and terrible.	Rachel ignored their cruel comments.	Rachel was inspired by their comments.	1	0	1	0	1	0	0	1	1	0	0	0	36	38	0	5	6	0
a98fa302-b6e7-4ea7-8a70-002b68508af2	0.3	Everyday, John saw a homeless man at the corner near his school. It made John very sad to see someone in such great need. He decided to make a gift for the man with basic necessities. He looked for the man the next day and gave him the gift.	The man was very grateful.	The man allowed John to take the gift back.	1	1	0	0	1	1	0	0	0	1	0	0	26	43	0	5	9	0
32dc61b0-49f7-4237-852f-db4f0304b88a	0.3	Cis was doing her laundry. She took her clothes out of the washer. Then she spotted something. There was a $100 bill in the washer!	That was a great day for Cis.	Her clothing had been stained red with the crushed berries.	1	1	0	0	1	1	0	0	0	0	0	1	29	59	0	7	10	0
b74bf95f-3e6b-409a-82ac-db90029c83cd	0.3	He couldn't believe what his boss told him. The boss told him he could leave early. Somebody else would finish his work. He had not been this excited in a long time.	He planned to visit his friends earlier than usual.	He was very angry at his boss.	1	1	0	0	1	0	0	1	0	0	1	0	51	30	1	9	7	1
c8906127-37af-4237-bcd4-674508b131fb	0.3	Jerry loved running everywhere. He ran to school and back. He ran to the store. One day there was a beautiful sunset.	Jerry stopped running.	Jerry continued to run.	1	1	0	0	1	0	0	0	0	1	0	1	22	23	0	3	4	0
b6198ce9-7873-47d7-a1db-5738a4c326f4	0.3	Stephanie realized that some money was gone from her drawer. When she brought it up to her manager they investigated. It turned out that one of her coworkers was stealing money. She thought it was a waste because they were tipped so well.	The manager fired the stealing employee.	Stephanie started stealing from work, too.	1	0	1	0	1	0	1	0	1	0	0	0	40	42	0	6	6	0
280f56b5-e453-437a-8a2e-6b58b684f629	0.3	Bob dropped off his car to get an oil change. When he got his car back it started to sound funny. Smoke began to come out of his car. The mechanic forgot to put oil in his car.	Bob was livid!	The mechanic was given a promotion.	1	0	0	1	1	0	0	1	0	0	0	1	14	35	0	3	6	0
1a81d01f-f1b6-4aa2-a5d1-c5ae71b14d54	0.3	Greg was a messy person. And he ate every meal at his computer desk. One day, he spilled soda all over his keyboard. When it was his birthday, a friend bought him a new keyboard.	Greg decided not to eat at his computer desk anymore.	Greg was disappointed with his gift.	1	0	0	1	1	0	1	0	0	0	1	0	53	36	1	10	6	1
90e34872-db2d-4371-a073-b5b78481643a	0.3	Neil took a ferry to the island of Sicily. The wind blew his hair as he watched the waves. Soon it docked, and he stepped onto the island. It was so breathtakingly beautiful!	Neil enjoyed Sicily.	Sicily was the worst place neil had ever been.	1	0	0	1	1	0	0	1	0	0	0	1	20	46	0	3	9	0
cc708327-6028-4dba-bef7-3a2f2b339e37	0.3	Last week I lost my phone. I looked everywhere for it. After a few hours I had a good idea. I figured I would call it.	I found my phone under the couch!	I wasn't able to locate my phone.	1	1	0	0	1	0	0	1	0	0	1	0	33	33	0	7	7	0
57ab0770-20aa-47c7-9741-b933d35ca9b0	0.3	Tia went out to a bar one night with a guy she'd just met. The unscrupulous guy drugged Tia's martini when she wasn't looking! Poor Tia, unsuspecting, drank the martini and became very groggy. She remembered nothing until she woke up naked the next morning.	She went to the police and filed a report.	She smiled, and went back to sleep.	1	1	0	1	1	0	0	0	0	0	0	1	42	35	1	9	7	1
2236eeef-a0c8-4279-878a-c511175bc783	0.3	George was taking a hot shower. Suddenly, the water became very cold. George quickly jumped out of the shower. Shivering, he used a towel to dry off.	He realized that his hot water ran out.	George then felt too hot so he needed to cool off.	1	0	0	0	1	1	0	1	0	0	1	0	39	50	0	8	11	0
71c745c0-67df-4329-8f64-7d0b8ab5d70b	0.3	Six year old Joe came home with ripped pants. He also gave his parents a note saying he had misbehaved. Joe's father yelled at him. Joe's mother gave him a hug and asked for an explanation.	Joe admitted it was all his fault.	Joe said nothing special happened that day.	1	0	0	0	1	1	0	0	0	1	0	1	34	43	0	7	7	0
8448cb06-c447-467a-b467-d6e17c4f28ae	0.3	At school, Joanie heard some girls talking about church. They asked Joan if she was a Christian. When Joanie shook her head, the girls shunned her. Joanie told her mom about it.	Joanie's mom told her not to worry about such judgmental people.	Joanie's mom was happy she had made some friends.	1	0	0	1	1	0	0	1	0	0	1	0	64	49	1	11	9	1
91211aed-0a32-45fb-8d49-4cf3a027ebeb	0.3	Olaf pinched every penny for retirement savings. In fact, he literally collected up every piece of change available. He was stingy with tips and purchases. He rolled his coins and deposited them in the bank.	The bank tellers always sighed but didn't mind Olaf.	Olaf took a pinch of salt for the roll recipe.	1	0	1	0	1	0	1	0	1	0	0	0	52	46	1	9	10	0
d033e2bd-4932-436c-b3b6-08c1964f8c74	0.3	Neil had arrived in Finland! He had traveled by boat and rail. He couldn't wait to start seeing the sights! But first there was something important he had to do.	Neil went to the grave where his ancestors were buried.	Neil went home instead of doing any sightseeing in Finland.	1	1	0	0	1	1	0	0	0	1	0	0	55	59	0	10	10	0
5805e662-2062-4832-baeb-1f3592cdfa26	0.3	Last week Sally came home and found a package in front of her door. She was curious about what might be in the package. She quickly opened the package and couldn't believe her eyes. Inside the package was a gift from her best friend.	It was a frilly dress with glitter and sparkly fabric!	Sally threw the package away.	1	1	0	1	1	0	0	0	0	0	0	1	54	29	1	10	5	1
6648720e-b3c0-404d-8c96-040713d3d76b	0.3	Jill and her band had a concert coming up. They were a new band and needed practice. They spent the coming weeks practicing very hard. When the concert arrived, they were well rehearsed.	Jill did very well in the show.	Jill was not well rehearsed enough and performed poorly.	1	0	0	1	1	0	0	1	0	0	1	0	31	56	0	7	9	0
05c22a76-3d6f-47e7-84a1-97247e3f3973	0.3	Brenda was at summer camp. She was lying in bed and trying to go to sleep. Suddenly, she heard a spooky noise. The noise terrified her and kept up all night.	In the morning, Brenda discovered mice had eaten her snacks.	Branda awoke feeling refreshed.	1	0	0	1	1	0	0	1	0	0	1	0	60	31	1	10	4	1
6c3a13f6-60cb-4253-ad63-1e7560dec1af	0.3	Susie needed to upgrade her old smartphone. She went to Sprint to look at the different models. A worker there was really helpful and told her a lot about each phone. Susie soaked in the information that she was told.	Susie ended up buying the latest model of smartphone.	Susie told the worker she needed a new smartphone.	1	1	0	0	1	1	0	1	0	0	0	0	53	50	1	9	9	0
187be9a0-99a9-44e9-8d41-902cddf00b54	0.3	Jean helped a customer with a big layaway. The next day, the customer paid some money to take out an item. The customer kept coming back to do the same all week. When she stopped coming, Jean checked her layaway.	The layaway bag was empty, with money still owed.	She saw that the customer had never come back for any items.	1	0	0	1	1	0	0	0	0	1	1	0	49	60	0	9	12	0
03494e6b-cf8e-44a0-a4a8-5d6efabb138c	0.3	Deirdra wanted to be a great blues musician. She listened to a lot of work by greats like BB King and Taj Mahal. She bought a guitar and tuned it for blues music. She booked a bar venue and started getting her work out there.	She played small venues regularly and became well known.	At her first gig, she realized she never learned how to play.	1	0	0	1	1	0	1	0	0	0	1	0	56	61	0	9	12	0
c7c93ed2-8851-4739-8c8e-9680588f6d91	0.3	Mary was pissed at Paul for forgetting their anniversary. Paul had to think quick. He decided to call his friends to help fix things. They helped him set up an amazing party and invited everyone.	Mary forgave Paul.	Paul brought his mistress to the party.	1	0	0	0	1	1	0	1	0	0	0	1	18	39	0	3	7	0
2e9d8d5b-40ed-4052-bf72-d07cd3d31b3e	0.3	Lizzie was in her 90's and the mother of eight adult children. One night Lizzie fell and broke many bones including her neck. She never recovered and passed away a week later in the hospital. Lizzie left no will as she had expected to live much longer.	Lizzie's children had to negotiate their mother's belongings.	Lizzie left all of her belongings to one child in her will.	1	0	0	0	1	1	0	0	0	1	0	1	61	59	1	8	12	0
1293a4ea-e078-4a91-b13b-6384e1102eb6	0.3	Today I wrote a lot of stories. I sat down and thought about each one. Then, I typed it carefully into the boxes. Finally, I submitted the stories.	I wanted to finish the project successfully.	I hoped my computer would erase my stories.	1	1	0	0	1	1	0	0	0	0	0	1	44	43	1	7	8	0
1ca57071-a5bb-4dcc-b0bf-d5321e6e3845	0.3	While washing the dishes, Caitlin broke one of her mom's best dishes. Caitlin knew her mom would be mad. She lied and said that her sister did it. Her sister was scolded.	Caitlin felt guilty and came clean to her mom.	Caitlin's sister took the punishment justly.	1	1	0	0	1	0	0	0	0	1	0	1	46	44	1	9	6	1
bc5cb34e-a2c6-403b-954c-92bcfffb425a	0.3	My cat likes to hunt. One day my cat hunted a mouse. The mouse was really fast. The cat could not catch the mouse.	The cat was really slow.	The cat got away.	1	1	0	0	1	0	1	0	0	0	0	1	24	17	1	5	4	1
c7e50392-9b3a-4067-96d4-a3a5cc89b400	0.3	Keith wanted a puppy for his birthday. He dropped hints to his parents. But they did not seem to notice! Keith was not hopeful as he unwrapped his gifts.	Unsurprisingly, no puppy was found.	Keith was happy because he got a new bike.	1	1	0	1	1	0	0	1	0	0	0	0	35	42	0	5	9	0
29053d48-56d5-4c88-b6e8-baed039d7ab8	0.3	Tay ordered a pizza delivered to her house. When it arrived, she reached for her wallet. She saw that she had just enough to pay for it. That left no money to tip the delivery boy!	She apologized to him.	She gave him a five dollar tip.	1	1	0	0	1	0	0	0	0	1	0	1	22	31	0	4	7	0
7984171e-e091-45cf-a27d-dcdbb34e5e6c	0.3	Gina's knew pencils were gone. And she knew a boy named Dave had taken them. She decided she would confront him to get them back. She marched to his desk and begin yelling.	Gina was very angry.	Gina was very calm.	1	0	0	1	1	0	1	0	0	0	1	0	20	19	1	4	4	0
bf4ebc30-7357-43e6-a773-ed6f30175ef0	0.3	David's father had painstakingly assembled a collection of rare coins. One day, he found some of his prized coins missing. He questioned Davis about their absence. David had taken them for lunch money!	David was grounded by his father.	David's father then thanked him.	1	0	0	1	1	0	0	0	0	1	0	1	33	32	1	6	5	1
19d4c20d-2646-4da6-8884-e384f6be105c	0.3	Jenny had a big crush on Leroy. They were at the school dance. She mustered up her courage to ask him for a dance. He told her no and laughed with his friends.	She ran away and cried to her mom.	She laughed in Leroy's' face.	1	1	0	0	1	1	0	0	0	1	0	0	34	29	1	8	5	1
3ab8bc79-8b56-49a5-98ad-3d104186bc1d	0.3	Tom worried that the winter would never end. It had been a cold February and he missed the warm weather. One day the temperature rose suddenly. Tom was so happy to see that winter was finally ending.	Tom traded in his jacket for shorts and a t-shirt!	Tom stayed inside because it was too cold outside.	1	1	0	0	1	0	0	1	0	0	0	1	50	50	0	10	9	1
040c992b-fe9a-4de2-ad2a-815695ea3157	0.3	Tyler decided to make a new fence for his yard. He worked all day long to dig the holes for the posts. The next day, he put the posts in. Then he put up the fencing.	Tyler was very pleased with himself.	Tyler hoped someday to have a place with a yard.	1	1	0	0	1	0	0	1	0	1	0	0	36	48	0	6	10	0
dce9c334-1c93-45a1-9bc9-631450523dd6	0.3	I loved to eat honey with my oatmeal. One day I unexpectedly ran out of honey. I did not want to eat my oatmeal without honey so I went to the store. Alas, they had run out of their honey stock.	I felt so defeated.	I was happy.	1	0	0	0	1	0	1	1	0	0	0	1	19	12	1	4	3	1
fa1424ff-a6bc-4291-a11e-b5568e4a617f	0.4	Todd collected and raised lovebirds. He had 12 in all. His apartment stank from the animals. Todd didn't mind the smell.	The smell reminded him of his love for his birds.	He pinched his nose constantly avoid the smell.	1	0	1	0	1	0	0	1	1	0	0	1	49	47	1	10	8	1
d5fd1257-1f11-4a53-b00b-67773e05eec4	0.4	Casey was competing in a school talent show. She was incredibly nervous. All she could think about was all eyes on her. Thankfully when she hit the stage her nerves cooled.	Casey did a wonderful job.	Everyone was disappointed in Casey.	1	0	0	1	1	1	1	0	0	0	1	0	26	35	0	5	5	0
99d9267e-29b9-424b-81ba-181b931a469d	0.4	John was a truck driver who had just started his job. He pulled over one night to fill up his truck's gas tank. But he filled the tank with regular fuel, not diesel! John caused serious engine trouble for the truck.	John got fired.	John got a raise in pay.	1	0	1	1	1	0	0	0	1	0	1	0	15	24	0	3	6	0
83aa04ca-160d-4162-8480-064e3556b814	0.4	Pete got a new video game for his computer. He wanted to spend a lot of time enjoying it. However, his work and other responsibilities gave him no time. Finally, he chose to make time and set aside one weekend for himself.	He played the game until he had finished every level.	He spent the weekend gardening.	1	0	0	1	1	0	0	1	0	1	1	0	53	31	1	10	5	1
6a1bd0bb-baec-4aaa-8c51-a9c563fe76b0	0.4	Kelly was nervous today. It was her first day of school. She was the new kid. Thankfully however she made new friends when she got there.	She realized she was going to like the school.	She was in a class with the same kids from last year.	1	0	0	1	1	0	0	1	0	0	1	1	46	53	0	9	12	0
88c2d1b8-7ff2-4c31-bf51-a8c9a9123949	0.4	Tara argued with her bosses all the time. She always had differences of opinion with them. One day she was fired for insubordination. Tara eventually found a new job.	She argued with her new bosses too.	Tara got a great reference from her old boss.	1	0	0	1	1	0	0	1	0	1	1	0	35	45	0	7	9	0
cbde08c3-c0c2-401f-988d-7d2eb13ab8fa	0.4	Gino has been looking for a job for weeks. One day he sees an ad for a job at a pizza restaurant. Although he doesn't have relevant experience, he applies for the job. The owner decides to hire Gino.	Geno struggles for a while but gets the hang of it.	Gino got the job because of his experience.	1	1	0	0	1	1	0	1	0	0	0	1	51	43	1	11	8	1
b98c114b-d657-49d2-9bd1-912438fadd68	0.4	Susan knew she hurt him by leaving. She knew she couldn't turn back. The next day she packed up and never looked back. She moved back in with her parents for awhile.	Susan knew the choice she made was difficult but for the best.	Susan was mad because she had no family to turn to.	1	1	0	0	1	1	0	0	0	1	0	1	62	51	1	12	11	1
1afef342-9070-4d04-9055-706320e91594	0.4	Penny is from a tropical climate. She has never seen snow. For vacation, she decided to go skiing. Penny saw snow for the first time.	Penny was amazed.	Penny was used to seeing snow.	1	1	0	0	1	1	0	1	0	0	0	1	17	30	0	3	6	0
d73cdded-0551-42d3-9f1f-0b4d147f470e	0.4	I used to be fat. At 18 Year's old I was 280 pounds. I knew my life would suck forever if I didn't change that. I worked my ass off for three Years with intense diet and exercise.	I am very proud of myself.	I weight 299 pounds.	1	1	0	0	1	0	0	1	0	1	0	1	26	20	1	6	4	1
d4604356-e7f8-4c35-b6bf-2c2c7615053d	0.4	Francine was preparing for her first time on a airplane. Francine has never been on a airplane before. Francine conducted research to find out what flying was like. Francine got several tips from the research to make her travel easier.	Francine then became more comfortable.	Francine could not find any tips to help her.	1	0	0	1	1	0	0	1	0	1	1	0	38	45	0	5	9	0
2150a560-db7f-4dd4-b0ba-0bea39d05d49	0.4	Fred needed some ice for a barbecue. He went to the store and pulled out several bags from the freezer. He went to the counter and paid for the ice. The attendant helped him carry them to his car.	Fred brought the ice to the barbecue.	Fred was sad no one had ice for their drinks at the barbecue.	1	1	0	1	1	0	0	0	0	0	1	1	37	61	0	7	13	0
a7c619c0-8fba-44e3-a4a7-fd81ed19b296	0.4	The weatherman predicted that we would get 6 inches of snow overnight. I went to bed right when it started snowing. When I woke up, the snow was everywhere. We could not even open the front door.	We were trapped.	I opened the door and walked to the mailbox in my shorts.	1	1	0	0	1	1	0	1	0	1	0	0	16	57	0	3	12	0
3a6292aa-f7d8-4a29-ba7e-4ae10b04dea0	0.4	I love surprising people. Jake wanted a new guitar for a long time but couldn't afford it. One year I got a large Christmas bonus. I told him that I got him a movie for a gift.	I actually bought Jake a guitar!	Jake loved the movie!	1	0	0	0	1	1	1	1	0	0	0	1	32	21	1	6	4	1
4e21bd8d-4cce-43be-b368-363075029a98	0.4	The Brown family was going to the Grand Canyon. They all piled in the car and began their drive from Iowa. There were many stops along the way and the trip was long. When they arrived at the Canyon the kids hopped out of the car.	They all took photo's to post on their Facebook pages.	They walked all they way back home in disgust, and anger.	1	0	0	1	1	1	0	0	0	0	1	1	54	57	0	10	11	0
1a349aff-3f45-4094-8b30-b07842bcf1bf	0.4	Mary went to the market on Sunday for fruit. She bought bananas but couldn't find any peaches. She decided that she would wait on the peaches until next time. When she went again there were still no peaches.	Mary was disappointed.	Mary didn't want peaches.	1	1	0	0	1	1	0	0	0	1	0	1	22	25	0	3	4	0
9f285bef-69d0-49ad-950d-8f1880549c77	0.4	Jordan met Sally over two Year's ago and got into a relationship. Suddenly Sally got distant with Jordan. Jordan heard through a friend that Sally was seeing another guy. Jordan confronted Sally and she admitted to seeing another guy.	Jordan was sad and broke off his relationship with Sally.	Jordan was excited and took Sally out to dinner.	1	1	0	0	1	0	0	1	0	1	0	1	57	48	1	10	9	1
bd36aa9d-d6ec-4895-bb7f-43c45226b070	0.4	Debra decided that the bus was the most economical way to get to work. Debra found the bus somewhat slow, but very cost-effective. Debra also liked that public transit was environmentally friendly. She had to get up fifteen minutes earlier to make it to the bus.	She set her alarm for 15 minutes earlier.	She got up and drove her car to work.	1	1	0	0	1	1	0	0	0	1	0	1	41	37	1	8	9	0
