InputStoryid	0	story	rightanswer	wronganswer	cogcomp	jonbean	lizhongyang	mflor	msap	niko	rocnlp	roemmele	sjtuadapt	tbmihaylov	teampg	teamukp
311c7227-7bd0-4043-ac28-57d0b6daa8b0	0.8	A pop up appeared on my computer. I didn't know what it was, but I clicked it. My home page got directed to a webpage. Out of nowhere, my computer turned off.	I worried that my computer had a virus.	I closed out of the pop up.	0	0	1	1	1	0	1	1	1	1	0	1
4016db84-e1f7-4422-8659-cd0b738356dc	0.8	Cara wanted new kitchen cabinets. She told her husband. He looked at how-to videos. He decided it looked like a simple enough job.	Cara's husband decided to go buy wood.	Cara's husband decided to go back to college.	0	0	1	1	1	0	1	1	1	0	1	1
513b9bfa-7e67-4704-b426-e8b2e600a3dc	0.8	Craig just graduated high school and wants a job. He gets the daily newspaper and checks out the help wanted ads. He draws up his resume. One of the people where he applies calls him for an interview.	He calls them back and schedules an interview.	Craig calls the person back and tells them to stop harassing him.	0	0	1	1	1	1	1	0	1	1	1	0
cb7989d9-784c-4d5d-86d8-efb318998212	0.8	My cousins kept getting sick. The doctors couldn't figure out why. Eventually they started testing their water. It turned out to be contaminated.	My cousins sued the water company.	My cousins started drinking more water.	0	0	1	0	1	1	1	1	1	1	0	1
dfe9c7d2-cca0-4d1f-80f9-aea732b75434	0.8	I just started doing ebay for my sister in law. She lost her husband a few months ago. She wanted to sell things on ebay in order to keep busy. I listed twelve items for her and made $120.00	She was grateful, so she bought me lunch.	But when she told her husband, he got mad.	0	0	1	1	1	1	1	1	1	1	0	0
dd9f78f3-86b5-4eff-b6b5-b3c0ad2c3dd2	0.8	My day on Sunday this week went as expected. My family and I attended Church from 8 to 11 in the morning. Afterwards, we went to eat dinner at a restaurant. The rest of my day was spent doing homework assignments.	I then went to sleep feeling happy about my life.	I then woke up and went for a jog.	0	0	1	1	1	0	1	1	1	1	0	1
22c13f53-8712-446e-b32a-30fcd8d06d3e	0.8	Ever since junior college, Charles has been following rules. He never drinks and drives. But he met a girl in a bar yesterday and she wanted to drink with him. Then she wanted to go back to his apartment.	He broke his rules and drove her home.	Charles was a very reckless careless person.	0	0	1	1	0	1	1	1	1	1	1	0
8810ebe4-b592-481d-8485-5ee2571f374c	0.9	Sadie and her best friend were discussing what they should do Saturday. They flipped through the local newspaper for ideas. Sadie noticed that the local art museum was having an art show. Both thought that it would be a nice event to attend on the weekend.	Sadie and her friend made plans to visit the museum.	Sadie and her friend went to see the new Star Wars movie.	0	0	1	1	1	1	1	1	1	1	1	0
c89f48d6-ac62-4477-a4ef-ff512ff24486	0.9	Millie's best friend Nicky was about to become a great-grandma. Nicky asked Millie to crochet a blanket for the new baby. Millie made a beautiful blue and gray blanket with a little hat too. Nicky gave it to her granddaughter today at the baby shower.	Nicky's granddaughter smiled and drooled on it happily.	The cult sacrificed the child in the name of Ba'al.	0	0	1	1	1	0	1	1	1	1	1	1
f5f74340-586b-4574-a347-711f91f4dcbf	0.9	Anna was craving candy. She had none in her house! She was desperate for junk food. She went next door and asked her neighbor.	Her neighbor gave her a candy bar.	Anna does not have neighbors.	0	0	1	1	1	1	1	1	1	1	1	0
97d25389-0521-4516-bafc-2cec760dbd4a	0.9	Mel took a girl on a date. They had a wonderful time. The next day he called her for a second date. He was worried she would refuse.	To his relief she accepted.	She had been away on a trip in Alaska for some time.	0	0	1	1	1	1	1	1	1	1	0	1
1161517a-7732-4f33-b709-cacb876c4750	1.0	Anna and Aidan were playing cards one night. Then Aidan suggested they play board games. Anna thought it'd be boring. She agreed anyway, and she was glad she did.	She realized she loved board games.	She walked home and mopped the whole say.	0	0	1	1	1	1	1	1	1	1	1	1
