InputStoryid	story	rightanswer	wronganswer	cogcomp	jonbean	lizhongyang	mflor	msap	niko	rocnlp	roemmele	sjtuadapt	tbmihaylov	teampg	teamukp
3ef628ad-9066-4712-bd4f-aa47ccfcc117	My exam was a week from now. I decided to study today so I can understand the material better. A few days passed and I've spent a couple of hours studying. Unfortunately I caught a during the day before the exam.	Hopefully I be able to get through the exam.	I decided to jump rope for the final test.	1	1	1	1	1	1	1	1	1	1	1	1
3143fe60-f08d-4408-b30a-a0463ad4ffbe	Lee wanted to give his mom a nice gift for her birthday. But he had no money! So he decided to make her a card and cake. He put in lots of time and effort.	Lee's mom was very happy when she received it.	Lee's mom hated it.	1	1	1	1	1	1	1	1	1	1	1	1
dd101579-96e4-4840-9e33-9bb4ce3c18ab	Jamie's friends at school always told her baseball was a boys sport. However, Jamie loved baseball more than any other activity. So Jamie practiced baseball no matter what the others said. Soon she was the best baseball player at school.	No one made fun of Jamie and her love of baseball again.	Jamie decided she didn't like baseball anymore.	1	1	1	1	1	1	1	1	1	1	1	1
b9ae260c-6981-431f-8492-a5ca05cd89df	It was midnight, and Lynn's family was asleep. Lynn and her friends decided to meet some boys at the park. They decided it would be dangerous to sneak out her room window. So they went to the basement.	Lynn and her friends snuck out of the basement door.	Lynn decided to stay home and play a game.	1	1	1	1	1	1	1	1	1	1	1	1
a9f0d935-3091-4a42-b941-d059adad0c62	Ara was in the school choir. Her leader offered her a solo in the school play. Ara was nervous but thrilled. She practiced every day for weeks.	Ara got a standing ovation for her solo.	Ara refused her solo.	1	1	1	1	1	1	1	1	1	1	1	1
ee11f7b0-abf1-4c6f-adae-62bdba33fafe	Ted was playing tennis with his big brother. He always lost, but today he was determined to win. He concentrated hard and did his best. And Ted ended up winning the match!	Ted was proud of his efforts.	Ted wondered about the strange smell emanating from the table.	1	1	1	1	1	1	1	1	1	1	1	1
2e8b02e4-a7b3-48da-9006-af7f892ea0a1	Martha wanted to win the big spelling bee at school. She got a word list from her teacher and practiced every day. The big day finally came, and Martha won the spelling bee! She got a trophy, and her picture was in the newspaper!	Martha was very proud of her accomplishment.	Martha was upset about losing.	1	1	1	1	1	1	1	1	1	1	1	1
fddf7d4c-fc2c-4970-b565-aecc6c1525d2	I wanted to eat a particular cereal for breakfast. I found that I had run out of that particular brand of cereal. I went to a store to buy some more. The store was also out of that brand and I had to buy another.	I liked the new brand that I bought.	I don't like cereal.	1	1	1	1	1	1	1	1	1	1	1	1
55bdc3b0-c503-4510-ad9e-54d24fbb79da	Loo had a red box he kept pebbles he collected in. One day Loo went out to play with his friends. When he came back home he could not find his box. Loo asked his friends to help him find it.	Loo and his friends found the box.	Loo didn't want the box anymore.	1	1	1	1	1	1	1	1	1	1	1	1
9cefb977-dc4b-4f8c-8ae6-c31ac951f1a0	My friend had a bachelor party before her wedding. A group of us got together and went out on the town. We had dinner and drinks at a Mexican restaurant. We then got in a limo and went bar hopping.	We had a great time.	We had an uneventful night.	1	1	1	1	1	1	1	1	1	1	1	1
0a269589-dc3d-44f5-8b96-464f0de6c8d4	Haley was doing gymnastics after school. She stayed longer than everyone else. During a tumble she fell and hurt her neck. There was nobody there to help.	Haley screamed until a teacher came and helped her.	Haley continued to perform gymnastics until her mom came.	1	1	1	1	1	1	1	1	1	1	1	1
ce834cd4-783a-4891-84f7-4db755268b92	Cassie always wanted to be an actress. She had some experience as a child doing plays at school. One day, she saw an ad in the paper for auditions at the theater. She got her nerve up and went to the casting call the next day.	To Cassie's surprise they gave her a call back.	Cassie joined the army.	1	1	1	1	1	1	1	1	1	1	1	1
b66b48ed-c518-414b-8364-3af6ba3f81eb	Timmy was a little excited about having a baby sister. His parents let him pick out some baby names. He really wanted the baby to be named Jenna but his Mom liked Amy. When the big day finally came he stayed with his grandparents.	He jumped for joy when his mother brought his sister home.	He decided to stay there instead of going home.	1	1	1	1	1	1	1	1	1	1	1	1
4592cfc4-9dad-488f-b2e9-9a0fadf765ad	Katie decided it would be fun to dye some Easter eggs. She got her siblings together and they started dying a dozen. The chose all different colors. When they were done they looked beautiful.	They were proud of their eggs.	They were sad about the eggs.	1	1	1	1	1	1	1	1	1	1	1	1
fdc5a363-9a73-4893-8ce1-dd663a752820	Gina's extended family was fighting another family. They were in a park, and someone called the police. The police cars drove up fast with their sirens blaring. They jumped out of the cars and began to run towards them.	The police broke up the fight and questioned everyone.	They gave them all ice cream cones with sprinkles.	1	1	1	1	1	1	1	1	1	1	1	1
d4658ee8-28bd-414b-9bb2-7874a6facec5	The Waltons hadn't had a vacation in Years. This last summer they decided to drive to the beach. The family drove for hours and stopped a few times along the way. They spent five days at a nice hotel at the beach.	The Waltons were very relaxed.	The Waltons felt extremely stressed.	1	1	1	1	1	1	1	1	1	1	1	1
585f3fd6-15e4-4511-bf0a-1656562bb849	Rachel's mother always made her and the kids Kool-Aid. One day Rachel was very thirsty. She decided to make herself Kool-Aid for the first time. She dumped the package in water and stirred it up and took a sip.	She realized she mixed in too much water and it tasted bad.	She realized a hotdog would be great instead.	1	1	1	1	1	1	1	1	1	1	1	1
1ba6bf44-f8fc-472f-a14f-98fcbe601e1c	Tyler needed some extra spending money. He began looking for after school jobs. Finally he found a job at the local cafe. He makes coffee and bagels for customers.	He likes all the money he has now.	He had fun golfing.	1	1	1	1	1	1	1	1	1	1	1	1
7d56d5f0-f6a2-4298-9779-9f4922f328ae	Gomez loves Halloween. He wanted to enter a costume contest. For his costume, he decided to be Mickey Mouse. The contest had a Disney theme.	He won the contest.	Gomez is ashamed of what he has done.	1	1	1	1	1	1	1	1	1	1	1	1
31759123-0873-4010-9145-8b4d93a6d8ee	George had to go to court. He had to pay a parking ticket. He arrived at his local city council. He waited in line.	Eventually, George was able to pay the ticket.	George decided to spend the money on a new hat instead.	1	1	1	1	1	1	1	1	1	1	1	1
67652b43-4d69-41bd-9477-325361ffa0c8	Pam was looking for a house to buy. After a few months of looking, she finally found a house she loved. However, it was a little too expensive. Pam tried to talk down the price, and succeeded.	Pam finally bought the house.	Pam became homeless.	1	1	1	1	1	1	1	1	1	1	1	1
c03e5182-6bad-488f-b714-299ad5b30733	On the fourth of July, Lilly baked a lemon blueberry cake. She brought it to her boyfriend's house and they had a bbq. After dinner they drove into the city to watch fireworks. When the show was over, they got donuts from a food truck.	Lilly had a wonderful time.	Lilly had a terrible date.	1	1	1	1	1	1	1	1	1	1	1	1
c34fff03-3723-479b-8149-c8e547f73c67	Jake was swimming in his backyard. All of a sudden his pool burst open. There was a hole on the side of his pool. All the water leaked out of the pool.	Jake was very upset.	Jake was very happy.	1	1	1	1	1	1	1	1	1	1	1	1
b168c328-d09d-46b9-9a80-1a190f6630b2	Tia decided her kids were drinking too much sugar. She decided to cut out soda pop. Instead, she began to make sugar-free Kool-Aid for them. At first they complained about the change.	Later, once Tia's kids were used to the taste, they acclimated.	Later, Tia's kids joined a rugby league with snazzy uniforms.	1	1	1	1	1	1	1	1	1	1	1	1
781ab439-5960-4cae-8dbd-e641ac5abfb7	Ed was nervous about starting high school. He tried to reassure himself. He showed up the first day smiling and friendly. He made lots of friends quickly.	Ed was relieved.	Ed found highschool negative.	1	1	1	1	1	1	1	1	1	1	1	1
f3899348-2d0b-4bc1-b237-c93bccf678c3	Ana was playing basketball when her finger started hurting. An hour later, she was unable to move it. Her mother told her she was overreacting. Later that night, she was in so much pain she couldn't sleep.	Her mother took her to the emergency room to have it checked.	Ana decided to spin the basketball on her finger.	1	1	1	1	1	1	1	1	1	1	1	1
0847d0d3-f4e9-4153-8525-6ec5c176b3e0	Tony had the pizza ingredients ready. He never baked a pizza before. Tony wanted to surprise his girlfriend. He followed the instructions to make pizza.	Tom did a good job and his girlfriend liked the pizza.	Tom decided to make fried chicken instead.	1	1	1	1	1	1	1	1	1	1	1	1
017ea29c-3d5b-4d5b-b6b9-8f1aa378b203	Billy loved playing video games. One day he begged his parents to take him to Kmart. He saw a whole bunch of games there. He picked out a popular shooter game then took it home.	He played the game until bedtime.	Billy decided that he was sick of video games.	1	1	1	1	1	1	1	1	1	1	1	1
475064f6-c45a-45cb-be9c-e9be1ef34099	Pat wore his favorite shirt to work. During a break he noticed a thread hanging from his collar. He followed the thread to a rip in the fabric. Pat went to a store to buy a sewing kit.	He sewed up the rip before it got any bigger.	He didn't ever fix the rip.	1	1	1	1	1	1	1	1	1	1	1	1
2b6100d2-65f6-4957-b941-448d99edee9e	Joy went to bed hoping for snow. She had a new sled she really wanted to try! She was overjoyed when she woke up to six inches of snow. She got dressed as quickly as she could.	Joy enjoyed sledding for whole morning.	Joy lay on the beach for most of the day.	1	1	1	1	1	1	1	1	1	1	1	1
12f3ba1b-4042-49e2-ad61-fcd290f81019	Lina's dentist told her she needed braces. She didn't want them. She was scared everyone would make fun of her. Luckily, after she got them, everyone complimented her on them.	Lina was so relieved!	Lina was so heart broken.	1	1	1	1	1	1	1	1	1	1	1	1
505e6a21-8c56-4af0-9a38-b5ce5096d186	Rita was invited to her friend John's birthday party. Rita wanted to look her best for the party. She went to the department store to find a dress. She tried on several dresses of different colors.	She found a great yellow one.	She loved eating pizza.	1	1	1	1	1	1	1	1	1	1	1	1
2ce8571d-3697-42fa-9aa5-78fc2a66b846	Donald was a big Colts fan. He followed the team religiously. His family wanted to surprise him for his birthday. They bought him front row Cots tickets.	Donald was thrilled.	Donald was disappointed.	1	1	1	1	1	1	1	1	1	1	1	1
7719a66a-15ce-4ba8-9f52-e9c35a58748d	Kathryn loved the taste of pineapple. She bought a fresh pineapple from the store. She had no idea how to cut it. Kathryn watched a video on the computer that showed how to slice it.	She sliced it perfectly the first time.	Kathryn threw the pineapple away.	1	1	1	1	1	1	1	1	1	1	1	1
e0a9eab8-ee42-46fb-a399-7899cffd32da	Georgia was carving a pumpkin. First she put it on the table, on top of some newspaper. Then, she cut the top off and scraped out all of the seeds. Finally, she used a large knife to carve a face in the pumpkin.	Georgia made a great looking pumpkin when she finished.	When georgia was done, she.	1	1	1	1	1	1	1	1	1	1	1	1
a243f4db-5567-4057-b21a-5103cc273e8b	The day was sunny and warm, a perfect day for a picnic. Mom, James, and Renee went to the park. First they went for a walk. Then they had a picnic by the river.	They all had a good time.	They all ran from the bear.	1	1	1	1	1	1	1	1	1	1	1	1
f2420b66-049f-4615-b2ba-51a0f6d63c49	The astronaut sat strapped into his chair. His face was cold determination, but he was nervous. He remembered his training and focused on the mission. The rocket booster began to ignite, this was it.	The astronaut felt a surge of excitement.	The astronaut ate a donut.	1	1	1	1	1	1	1	1	1	1	1	1
024086f4-fb34-4c55-a810-c18bdf9d7a58	Tyler wanted a new computer. However, none of the computers available to buy fit his desires. So, he decided to build one himself. He ordered all the parts and got to work.	Tyler was computer literate.	Tyler was a dog.	1	1	1	1	1	1	1	1	1	1	1	1
71dce210-de09-4554-bd9c-a97ee19948d6	Rachel loved to play on her piano. One day she was paid to play at a romantic event. She lit candles and put them on her piano. The candles started to burn low.	She caught them before they burned her piano.	She decided not to do anything.	1	1	1	1	1	1	1	1	1	1	1	1
b73dcd4d-e4ad-498d-ac8f-a31a7e4bc969	Jason loved his old shoes. He was wearing them when the sole fell off. He tried to glue them back on. What a mess he made.	He had to buy new ones.	He went running.	1	1	1	1	1	1	1	1	1	1	1	1
28c21da5-d676-4eeb-88c0-1f751ba4ebc1	Cindy was reading a story about a dog. But she never liked dogs. As she kept reading, however, she became attached to the dog. In the end of the story, the dog died.	Cindy cried at the end of the story.	Cindy laughed when she finished the book.	1	1	1	1	1	1	1	1	1	1	1	1
e4af71f0-3087-4067-8b16-49f42119169f	Ann woke up in the middle of the night. She was thirsty and wanted a drink of water. She tiptoed into the kitchen and got a drink. But then she accidentally dropped the glass, which shattered!	Ann quickly cleaned up the broken glass and threw it away.	Ann decided to start dancing.	1	1	1	1	1	1	1	1	1	1	1	1
9297872d-6bcd-4b98-b200-e1bcab5b0ef5	Aya wanted to be a chef. She decided to test her skills. She cooked her family a huge dinner. Then she asked them if they had enjoyed it.	They all told her that they enjoyed it very much.	Aya left the room before anybody could speak.	1	1	1	1	1	1	1	1	1	1	1	1
b37c0973-fa39-4a46-8ba9-1266e7dbaf6c	Carly is a huge Disney fan. She plans to take her children on a surprise trip to Disney World. She tells her children that she is taking them to see their uncle. Unenthusiastic, the children follow their mother to the car.	On the way, she reveals the surprise to her delighted children.	After a while, the train leaves the station.	1	1	1	1	1	1	1	1	1	1	1	1
