InputStoryid	0	story	rightanswer	wronganswer	cogcomp	jonbean	lizhongyang	mflor	msap	niko	rocnlp	roemmele	sjtuadapt	tbmihaylov	teampg	teamukp
e99ac802-819c-4c92-a677-903e5232fccb	0.2	Jan took her parents to the rodeo when they visited. She was thrilled to find room to sit in the front row. Jan's mom opened her mouth in awe as the horses galloped by. Just then, the horses' feet threw up a spray of dirt and dung.	Jan's mom quickly ducked, so the dirt and dung missed her face.	Jan was excited to see dirt and dung fly into her mom's mouth.	1	1	0	0	0	0	0	1	0	1	0	0
ca69ca11-3a2a-4a16-b092-7d1b3403d838	0.2	Gina's friend Ruth had a friend named Jane. Gina and her other friends disliked Jane. But Ruth was always inviting Jane to do things with them. The other friends decided to stop inviting Ruth.	Ruth became sad.	Ruth and Jane formed a rival gang.	1	1	0	0	0	0	0	1	0	1	0	0
f62b254f-3afd-42ce-be68-79c108f9647e	0.2	Kay loved Ice Cream. She visited Cold Stone and discovered they had cinnamon ice cream. She ate cinnamon ice cream every week for 3 months. One day she returned and was told the ice cream was no longer sold.	Kay was crushed!	Kay was relieved because she had moved on to peppermint.	1	1	0	0	1	0	0	1	0	0	0	0
91806715-182f-4f51-ab27-5658d6780953	0.2	Sarah and Dan were looking for a new apartment. Their friend heard about this process. He wanted to live with them in the new city. He got a job in the same city.	Sarah and Dan had a loyal friend.	Sarah and Dan's friend wasn't close to them.	1	1	0	0	1	0	0	0	0	1	0	0
2ecbfaf5-27ec-41af-ad05-40f07b0d8a42	0.2	Alfred and Arthur had been best friends when they were children. Unfortunately, when they got older, they began to fight. They stopped talking to each other for a few years. Finally, they managed to reconcile.	They were both happy to be friends again.	They were both sad they had reconciled.	1	1	0	1	0	0	0	0	0	0	1	0
054e6e40-539e-4b88-b81d-acec771d42cb	0.2	Sarah was very hungry. She went to the kitchen to eat, but only had bread. She made some toast, with butter and jam. When she was walking to the table, she dropped the toast.	Sarah was so depressed.	Sarah was delighted she dropped the toast.	1	1	0	1	0	0	0	0	0	0	0	1
131f9ed3-fb7c-4018-97c1-cc3b0da77f0e	0.2	My niece just got engaged. She is Chinese and her fiance is Caucasian. Her parents had them over for a home cooked meal. The fiance got nausea from the unfamiliar dishes and had to leave.	My niece was very upset that her fiance was sick.	My niece was thrilled that her fiancé was sick.	1	1	0	0	0	0	0	1	0	1	0	0
ad4b3918-48ea-485f-8b59-6dabe1899ecd	0.2	Kevin had recently fallen ill and was hospitalized. He stayed a few weeks in the hospital before he got better. When he got home he received a bill for $100,000. Kevin did not have any health insurance.	Kevin declared bankruptcy,	Kevin call his insurance company about the bill.	1	1	0	0	1	0	0	0	0	0	0	1
21080e75-ac08-4c76-a8a3-dca85d71c1cb	0.2	Jim was in high school as he heard the tell tale tornado siren. He felt a growing panic as he saw the green color of the sky. Everyone moved into the hallway and kept their backs to the wall. He heard the whipping wind grow stronger outside.	Jim was scared.	Jim went outside to look for his dog.	1	1	0	0	1	0	0	0	0	0	0	1
7ce36834-7cbd-4dac-ae56-5e9751e6ac41	0.2	Larry loved making music. He especially liked remixing other people's work. He would upload his stuff to youtube. Eventually he was sued by too many other artists.	Larry learned a lot about copyright from his experience.	Larry enjoyed the interaction he received from those artists.	1	1	0	0	0	0	0	1	0	1	0	0
9825a8de-7f92-4cd7-8165-e9755209cc21	0.2	Jen wanted all of her family to be together for Christmas. She planned a fun party and invited everyone. All of her friends showed up, but not her family. Jen was very sad.	Jen decided to make the best of what she had.	Jen then spent time with her family.	1	1	0	1	0	0	0	0	0	0	1	0
60e6ad62-f96a-4452-a8c0-68725e8a1fb7	0.2	Jim was summoned for jury duty. He had to call in to skip work. He arrived at the courtroom. He sat through the entire trial.	Jim was extremely bored.	Jim was glad he didn't have to miss work for jury duty.	1	1	0	0	0	0	0	0	0	0	1	1
87aa1560-0c24-4a6d-8507-6ae058e4422a	0.2	My roommate is from Germany. He is a very good cook. One day, he made some sausage for me that he ate back home in Germany. The sausage turned out poorly, according to him.	I loved them anyway.	I thought the cereal was delicious.	1	1	0	0	1	0	0	0	0	0	0	1
2a6dfc06-4c62-4d43-bad2-f0cf145fbebe	0.2	I visited Harvard Square in 2004. I watched the chess hustlers play speed chess. I put down $5 and played a game. I played 3 more games and lost $15.	It was a learning experience.	I felt glad I won.	1	1	0	0	0	0	0	0	0	1	0	1
ec78b636-42c9-4d47-b7b7-bbb1b5a2e366	0.2	We went to Hawaii this summer. I was so excited to go. The island was beautiful. I have never seen such a clear ocean.	I could see fish swimming in the coral reef.	I couldn't see the shark that attacked me in the ocean.	1	1	0	0	1	0	0	1	0	0	0	0
